node,node_idx
l2804253.1,1149
l3029500.1,1157
l2954350.3,1161
l2802481.1,1162
l3214549.1,1163
l2851933.1,1164
l2851933.2,1165
l2851933.3,1166
l3207907.1,1167
l3207907.2,1168
l3207907.3,1169
l2841619.3,1170
l2916625.2,1178
l2822862.3,1181
l3176661.3,1194
l2970804.3,1195
l2936275.2,1198
l2766722.2,1199
l3142079.2,1200
l2710504.2,1208
l3197652.1,1213
l3270814.1,1217
l2897778.1,1219
l2785534.2,1221
l3066801.3,1223
l2691967.2,1229
l2766718.3,1238
l3048206.1,1239
l2684420.2,1243
l3157167.1,1251
l2879075.1,1259
l3231269.2,1261
l2914323.2,1279
l2954351.3,1281
l2897779.3,1293
l2841626.3,1294
l2711234.2,1295
l2973178.2,1296
l3160862.3,1301
l3104850.3,1302
l2748130.2,1303
l3085389.2,1306
l2729405.2,1307
l3251799.1,1315
l2897764.2,1317
l2991901.2,1319
l3251808.1,1321
l3139086.2,1322
l3029501.2,1329
l2898526.3,1336
l3048965.2,1338
l3216123.1,1340
l2879073.3,1347
l3048207.2,1350
l3160868.2,1351
l3082988.2,1352
l2936211.3,1353
l3645809.3,1355
l3125349.3,1360
l3254216.1,1370
l2785511.1,1371
l2897784.2,1372
l2673313.2,1379
l3122835.2,1389
l3234185.2,1390
l3065750.2,1391
l2991943.3,1392
l2952013.1,1393
l3159037.2,1401
l2841645.3,1408
l2955078.1,1414
l2821010.1,1418
l3141411.3,1425
l2973160.2,1437
l2801896.2,1440
l3103822.3,1453
l2729428.1,1459
l3011293.1,1467
l3011293.2,1468
l3011293.3,1469
l3233353.1,1471
l3029506.2,1472
l3010559.1,1473
l3178977.3,1475
l2691965.2,1482
l2785538.1,1483
l2710543.3,1485
l3160872.3,1491
l2879069.1,1495
l2955006.3,1496
l2692600.3,1497
l3029505.3,1498
l2673318.3,1499
l2691949.2,1502
l3085403.1,1504
l3235255.2,1507
l3120484.3,1517
l2879078.1,1518
l3232902.1,1524
l3123509.3,1529
l2859403.1,1536
l2917328.2,1546
l2841635.1,1548
l2766499.3,1551
l2802480.2,1554
l2691954.2,1556
l3122849.2,1559
l2764411.3,1561
l2729206.3,1565
l2804957.3,1566
l3048937.3,1567
l2822872.2,1569
l3235946.1,1571
l3156034.1,1574
l3254205.3,1575
l3197647.1,1576
l2973833.2,1583
l2991902.2,1588
l3065696.1,1591
l2748780.1,1592
l3027122.1,1600
l2841637.3,1602
l2710520.1,1604
l3046854.2,1609
l2766716.3,1611
l2973171.2,1613
l3085392.3,1614
l3784018.1,1617
l2973166.3,1621
l3068944.2,1622
l2936270.1,1626
l3086078.1,1627
l2748139.2,1635
l2841631.3,1637
l2916610.2,1639
l2879076.3,1640
l2691939.2,1642
l2933120.3,1644
l3645810.3,1649
l3649304.1,1651
l3178969.2,1653
l2729401.2,1654
l3235249.1,1655
l2954348.1,1656
l3066812.1,1657
l2841622.1,1658
l2823611.1,1662
l2991923.1,1668
l2730163.3,1676
l3048196.2,1678
l2673306.3,1679
l2726973.1,1680
l2991640.3,1686
l3160101.1,1688
l2766741.1,1700
l3178979.3,1723
l3254231.1,1724
l3728042.1,1725
l3728043.1,1726
l2895461.1,1729
l3029518.2,1730
l2897807.2,1731
l2785520.2,1732
l3254869.2,1738
l2798067.2,1739
l3102793.2,1742
l2688693.3,1751
l3048222.3,1752
l3104117.3,1753
l2690187.2,1756
l2841628.1,1763
l2689678.2,1765
l2692655.3,1769
l3029520.2,1776
l2991906.1,1779
l3066814.2,1782
l2748133.3,1793
l3085399.3,1794
l2767342.1,1795
l2710511.1,1802
l2766719.1,1803
l3216342.2,1808
l2916607.3,1810
l2710513.2,1811
l2973165.1,1813
l2785546.1,1817
l3085393.3,1820
l3178974.2,1821
l3189189.2,1828
l2821770.1,1829
l3252336.2,1831
l2820556.1,1835
l3029499.1,1839
l2991912.1,1848
l3010569.1,1849
l3216368.3,1853
l2879081.1,1854
l3104144.1,1855
l2916619.2,1856
l3179608.3,1858
l2990098.1,1859
l2673326.2,1861
l3122812.2,1867
l2897806.3,1874
l2822865.3,1875
l3195321.1,1876
l3197646.2,1878
l2763153.1,1887
l2766744.2,1891
l3216370.1,1892
l3216370.2,1893
l3216370.3,1894
l2674047.3,1901
l3727711.1,1903
l3086002.3,1912
l3029503.3,1925
l3216343.3,1930
l2748144.1,1931
l3010562.2,1934
l3197629.2,1937
l2766720.1,1950
l3011298.3,1961
l2991915.2,1965
l2673320.2,1966
l3729298.1,1978
l3727707.1,1979
l3160123.1,1980
l2897805.1,1981
l3197630.1,1989
l2785523.3,1996
l3141388.3,1997
l2991911.3,2008
l2970258.3,2016
l2841632.2,2018
l2805031.3,2024
l2860506.2,2026
l2954346.2,2027
l2879077.2,2028
l3139366.1,2035
l2763812.3,2041
l2951995.3,2042
l3197638.1,2043
l2860482.1,2046
l2804277.3,2054
l2991913.1,2055
l3235273.2,2057
l3029502.1,2058
l3066811.2,2062
l3197661.3,2067
l3122848.3,2068
l2860491.1,2079
l2860491.2,2080
l2897770.3,2082
l3104127.2,2083
l2767343.3,2084
l2786266.1,2085
l2785512.2,2088
l3195327.1,2092
l3104157.3,2095
l2991927.2,2103
l2804258.2,2108
l2992656.1,2110
l2936271.1,2111
l2916598.1,2115
l2954344.3,2116
l2897767.3,2117
l2876796.1,2118
l3122810.2,2120
l2860478.2,2125
l2822858.2,2126
l2841620.2,2127
l3727709.1,2128
l3727710.1,2129
l3179674.2,2143
l2803194.3,2148
l2804261.3,2163
l3178980.3,2164
l3123452.3,2172
l2841629.3,2176
l3254218.1,2177
l3778577.3,2180
l2820531.2,2182
l3626914.3,2184
l2955077.3,2187
l3160098.1,2196
l3104125.2,2204
l3118855.3,2211
l3231255.3,2214
l3235241.3,2219
l2729409.2,2220
l2841624.2,2221
l3235254.3,2224
l2766747.1,2235
l2822877.2,2238
l3198347.3,2245
l3226771.1,2248
l3189190.1,2249
l2991918.2,2250
l2954339.2,2251
l3048200.2,2252
l3160861.3,2253
l2804283.1,2259
l2916627.1,2260
l3029498.3,2263
l2973152.2,2265
l2822870.3,2266
l2839305.1,2268
l2710508.2,2269
l3082992.1,2276
l3214069.3,2280
l3197643.2,2285
l2879087.1,2295
l3552667.3,2300
l2954357.1,2302
l2785530.1,2306
l2822868.1,2307
l2726983.1,2311
l2821087.1,2312
l2673310.1,2313
l2936212.1,2314
l2936213.2,2316
l2746587.3,2321
l3120502.1,2328
l2673331.2,2330
l3122816.2,2338
l3160103.3,2342
l3027670.2,2348
l2691941.3,2349
l3159645.1,2365
l3160863.3,2368
l3048199.2,2372
l3067478.1,2373
l2841615.1,2385
l2673305.2,2386
l3104131.1,2389
l2973167.2,2391
l3067447.1,2399
l3139598.2,2401
l3085397.2,2403
l2748140.1,2405
l3141412.1,2406
l3197632.2,2409
l2785524.3,2410
l2991921.3,2412
l2710510.3,2413
l3197628.3,2414
l3104119.1,2417
l2842329.3,2418
l2973791.1,2420
l3179650.2,2424
l2710516.1,2428
l3160864.2,2429
l2748157.1,2431
l3048212.1,2432
l3122824.1,2433
l2879089.3,2434
l2937757.3,2435
l3067448.3,2436
l2897801.1,2439
l2973169.1,2448
l3197631.1,2453
l2748127.1,2454
l2729408.2,2461
l3048228.3,2462
l2991940.3,2463
l2728247.1,2467
l2728247.2,2468
l2728247.3,2469
l2916234.1,2471
l2673316.1,2472
l3159448.1,2476
l3048890.3,2479
l3010563.1,2481
l2841623.1,2482
l2991908.1,2484
l3178973.1,2485
l2879068.2,2488
l3066819.1,2489
l3104853.3,2490
l3234149.1,2494
l3234149.2,2495
l3234149.3,2496
l2673346.3,2500
l3254210.3,2501
l2955005.2,2502
l2936268.3,2504
l2688692.2,2506
l2804247.2,2511
l3178971.1,2513
l3728040.1,2514
l3728041.1,2515
l2766738.3,2521
l3104128.1,2522
l2673315.1,2523
l3047289.1,2524
l3047289.2,2525
l3047289.3,2526
l2785516.2,2527
l3048963.2,2528
l2785525.3,2533
l3198356.3,2534
l3197641.1,2535
l2973161.1,2536
l3085402.1,2543
l2991909.1,2547
l3082981.3,2562
l3235275.2,2564
l2915534.1,2569
l2710519.1,2570
l3141403.1,2572
l3197633.1,2573
l2710537.2,2581
l2897789.2,2584
l3160878.3,2586
l2917336.3,2587
l3214112.2,2592
l3160104.2,2593
l2973144.3,2594
l2748152.2,2595
l2955055.2,2599
l2991907.1,2600
l3104830.3,2608
l3197626.3,2609
l3160102.2,2617
l3160793.3,2622
l3177881.3,2624
l3048221.1,2631
l2748128.3,2634
l2913406.2,2635
l2991922.1,2646
l3104145.2,2649
l3649298.1,2653
l3048211.1,2655
l2766725.3,2656
l2673311.1,2657
l2785537.1,2659
l3066817.1,2664
l2673319.3,2667
l3104121.1,2669
l3104113.1,2670
l3104856.1,2671
l2785518.3,2672
l2745806.3,2675
l3157710.2,2677
l2916605.3,2682
l2804245.2,2684
l3254915.2,2686
l3727708.1,2687
l3160105.3,2688
l3235251.3,2689
l3251807.1,2693
l2992657.1,2694
l3197653.2,2696
l2991929.2,2697
l2895449.3,2701
l3086074.3,2703
l3143999.1,2706
l3160115.2,2710
l2935567.2,2711
l3253570.3,2712
l3122814.3,2714
l2935556.2,2715
l2692661.1,2725
l2879079.2,2731
l3216361.2,2735
l3048209.2,2737
l2896685.1,2738
l2896685.2,2739
l2896685.3,2740
l2748135.1,2741
l2767409.2,2742
l3091052.1,2746
l3215340.1,2753
l3142050.3,2757
l2989432.2,2764
l3066830.2,2765
l2991916.2,2770
l3235243.3,2772
l3727712.1,2777
l3236011.2,2778
l3198358.2,2779
l2860486.3,2781
l2916608.3,2787
l2673300.2,2789
l3030126.3,2800
l3254870.3,2801
l2915542.1,2802
l2915542.2,2803
l2915542.3,2804
l3085401.1,2805
l3010557.1,2806
l3254213.2,2808
l2690941.2,2811
l2748839.2,2812
l2876812.1,2815
l3178972.3,2820
l3448661.2,2823
l2766715.2,2825
l2972930.1,2829
l2879067.1,2830
l3235252.2,2831
l2785517.3,2835
l3082993.1,2837
l3122821.2,2840
l2730108.3,2845
l2804260.2,2851
l3085395.1,2852
l3141401.1,2854
l3104120.2,2855
l2763811.3,2862
l3235256.1,2863
l3254230.1,2868
l2814529.1,2869
l2814529.2,2870
l2814529.3,2871
l2860484.2,2873
l3150961.3,2875
l2711225.3,2876
l3030200.3,2877
l2879054.1,2881
l2689691.1,2883
l2820535.2,2887
l2727795.3,2888
l3086098.1,2892
l2822867.2,2896
l3104859.2,2901
l3101194.3,2902
l2862616.3,2903
l3066813.2,2909
l2991910.2,2910
l2785531.1,2912
l3179646.2,2914
l3066818.2,2916
l2954345.3,2917
l2804255.2,2918
l2842390.3,2920
l3160871.3,2922
l2691953.1,2924
l2767408.3,2925
l3728037.1,2926
l3108449.1,2931
l3160109.2,2933
l2729412.1,2938
l3160107.1,2939
l2897766.3,2942
l2952014.1,2944
l2748125.3,2945
l2673303.3,2946
l2879753.2,2947
l2914324.1,2948
l2691942.2,2951
l3189188.3,2954
l3254228.2,2961
l3217053.3,2966
l3178997.3,2970
l2764412.1,2973
l2785513.1,2975
l3217056.1,2977
l2691947.1,2981
l3216344.2,2983
l2729207.3,2993
l3010580.2,2997
l3141394.2,3000
l3104154.3,3002
l3104155.3,3003
l3104130.2,3006
l2841625.3,3007
l3010566.3,3008
l2935568.2,3010
l2897777.3,3017
l2860488.2,3018
l3122811.1,3019
l2897774.2,3020
l3254211.2,3021
l2691938.2,3025
l2804256.2,3027
l2822863.3,3032
l2748158.1,3037
l3254234.2,3038
l2766724.3,3042
l3011229.1,3048
l3197639.1,3050
l3085391.2,3051
l2691952.1,3052
l2897781.1,3055
l2691950.3,3062
l2916609.3,3063
l3104132.1,3070
l2805034.1,3071
l2822866.2,3073
l3160100.2,3076
l3085390.2,3077
l2954361.2,3078
l2801895.2,3080
l2691973.1,3081
l3066829.3,3088
l2879063.2,3089
l3649297.1,3091
l2820528.3,3104
l3048230.3,3106
l2925506.3,3112
l2729434.2,3113
l2970811.1,3117
l2841621.3,3122
l3198348.1,3127
l2876813.1,3128
l3104118.3,3129
l2748126.3,3130
l0247171.2,3132
l3179607.2,3133
l2861197.3,3134
l3160896.3,3135
l3067506.3,3136
l3029497.3,3137
l3047073.3,3138
l3104133.1,3140
l3122819.3,3141
l3048889.3,3142
l3235268.3,3144
l3008232.2,3145
l3140238.1,3149
l3010564.3,3153
l2691946.2,3154
l3139103.1,3155
l3119793.2,3158
l3066807.3,3166
l2804956.1,3170
l3254212.2,3172
l2820533.1,3173
l2879055.3,3174
l3104115.2,3178
l3086075.2,3179
l2822857.2,3183
l3104126.3,3184
l2989565.1,3192
l2806553.3,3196
l3122813.1,3197
l2729411.1,3198
l2935555.1,3199
l3215203.1,3201
l3215203.2,3202
l3215203.3,3203
l3122847.1,3205
l3141396.3,3208
l3066808.3,3209
l3195751.1,3215
l3085410.2,3217
l3178982.1,3221
l3197636.2,3225
l2876798.2,3228
l3104136.2,3232
l3048888.3,3234
l3197644.1,3241
l3251806.2,3243
l2804249.3,3250
l2935557.1,3251
l2690868.3,3253
l3030204.1,3254
l3179637.3,3257
l3181545.3,3271
l3178976.1,3275
l3065665.1,3276
l2785514.1,3277
l2710536.1,3278
l2936216.3,3279
l3048231.2,3281
l2879071.2,3289
l3029504.2,3290
l2804251.1,3295
l2764399.2,3297
l2842383.1,3299
l2745811.3,3302
l2804252.1,3303
l3066815.3,3306
l2710544.1,3308
l3160117.2,3312
l3029510.2,3313
l2730149.3,3320
l2860500.2,3321
l3216347.3,3322
l2767341.3,3325
l3030203.3,3332
l2879773.1,3333
l2804282.3,3336
l3225319.2,3343
l3048201.2,3344
l2823545.1,3346
l3160108.2,3347
l3029055.2,3351
l3645811.3,3358
l3254229.2,3359
l2710521.1,3360
l3253995.3,3365
l2841638.3,3366
l2860492.3,3367
l2691959.2,3368
l2973159.1,3369
l2822859.2,3370
l2973158.3,3371
l2674052.3,3372
l2916620.1,3379
l2916620.2,3380
l2916620.3,3381
l3104124.2,3384
l3233412.1,3385
l3235266.3,3386
l3235267.3,3387
l3235248.3,3388
l3217064.2,3389
l3729297.1,3391
l3197625.3,3392
l2917333.1,3393
l3142099.2,3396
l2898457.1,3397
l2842384.3,3403
l2763407.3,3404
l3176656.1,3410
l2748781.1,3417
l2860501.2,3424
l2954353.1,3429
l2726974.2,3430
l2785527.1,3431
l2766729.1,3432
l3176660.2,3437
l2673343.2,3443
l3029495.2,3446
l2823592.1,3450
l2992624.1,3456
l3232301.3,3459
l2858175.1,3461
l3045895.3,3463
l2841618.1,3464
l2785547.2,3468
l0247160.2,3471
l3122823.2,3472
l3048966.3,3473
l3101788.1,3478
l2916603.2,3480
l3160106.1,3481
l3178988.2,3494
l3010568.1,3495
l2804248.2,3502
l2729413.1,3503
l2673314.3,3504
l2785528.2,3505
l2897773.1,3506
l3010567.3,3507
l2991917.2,3508
l2766730.2,3509
l3217057.1,3523
l2785515.3,3525
l2729424.1,3527
l2917359.1,3528
l3027133.1,3530
l3197627.3,3531
l2748129.1,3533
l3027671.1,3543
l2710532.3,3546
l2785526.2,3547
l2857591.1,3548
l2841630.3,3549
l3312692.1,3550
l3179678.2,3555
l3632979.1,3561
l3104796.3,3563
l2785519.1,3565
l3104122.1,3566
l3197618.1,3567
l2841633.1,3574
l3254206.2,3577
l2955074.1,3584
l3010585.1,3588
l2861219.2,3589
l3104135.1,3590
l3254203.2,3591
l2954352.3,3592
l2842379.1,3594
l2916617.2,3595
l2766727.2,3599
l2801909.3,3603
l2748131.2,3605
l2729427.2,3606
l2766717.3,3607
l2879064.1,3608
l3195318.2,3609
l3254204.1,3610
l2973148.1,3611
l2801902.2,3612
l2748146.1,3613
l3197624.2,3616
l3197654.1,3618
l2710505.2,3619
l2879065.2,3620
l2898522.1,3622
l2992556.3,3623
l3064514.3,3627
l3141402.3,3628
l2859391.2,3629
l2860489.1,3630
l2710514.2,3633
l2726975.2,3634
l3649306.1,3635
l2767407.2,3636
l2730107.3,3637
l3216339.2,3641
l2897792.1,3644
l2729407.2,3651
l3342743.3,3652
l3122818.3,3653
l3048203.2,3655
l2936276.2,3656
l2860499.2,3657
l3030205.3,3659
l3008248.1,3660
l2804250.3,3661
l2954354.1,3662
l2673321.1,3663
l3197634.2,3664
l3141389.1,3665
l2935559.1,3666
l3254217.3,3670
l3101782.1,3671
l2745799.3,3672
l3082983.2,3673
l2691966.2,3674
l3197642.3,3676
l2973157.1,3677
l2935550.3,3678
l3066821.1,3680
l3178975.2,3682
l2916618.2,3686
l2710515.3,3687
l3235258.1,3688
l3235258.2,3689
l3235258.3,3690
l3141395.3,3691
l3104123.3,3693
l3645812.3,3697
l3254214.2,3699
l2766749.2,3704
l2692660.1,3706
l2955076.1,3707
l3160114.1,3709
l3235245.3,3710
l2785535.2,3714
l2973150.1,3715
l3160113.2,3716
l2710518.1,3717
l3195310.1,3718
l3142098.2,3719
l2897771.2,3721
l2917255.3,3722
l3254215.3,3723
l2989571.1,3724
l3179699.2,3725
l3029507.2,3726
l2748124.2,3727
l2861218.3,3733
l0247162.2,3734
l2935552.3,3735
l3216350.1,3736
l3197660.2,3737
l2822860.2,3739
l3101787.1,3740
l3027132.1,3741
l3179673.3,3742
l2879092.3,3743
l2803199.1,3744
l2803199.2,3745
l2803199.3,3746
l3254208.3,3747
l2991905.1,3750
l2935560.3,3751
l3085400.3,3752
l2764403.1,3753
l2785521.3,3757
l3216988.2,3758
l3649305.1,3759
l2983432.1,3760
l3315860.2,3761
l2729423.3,3763
l2673307.3,3765
l2685809.1,3766
l3254209.3,3767
l2860477.1,3768
l3048946.3,3770
l2973180.2,3772
l3066806.3,3773
l2785529.3,3774
l3177894.1,3775
l2731712.2,3776
l2917310.2,3777
l3085394.3,3781
l3236004.3,3782
l2879066.2,3783
l3048214.1,3784
l3120504.1,3785
l2785543.2,3788
l2916602.1,3790
l2766748.1,3792
l3104129.1,3796
l3047058.1,3798
l2710525.3,3800
l3197640.3,3801
l3010561.1,3802
l3141390.2,3803
