from_node,to_node,from_bus,to_bus,phase,line_name,linecode,nph_line,length,R_per_len,X_per_len,C_per_len,R_full,X_full,C_full,u_idx,v_idx,from_base_kv,to_base_kv,length_unit
l2897768.3,l2729406.3,l2897768,l2729406,3,Line.ln5804790-1,1ph-xx4_acsr4_acsr,1,0.19477261,1.67466,0.93456,6.32285,0.32617789906260003,0.1820266904016,1.2315179971385,63,62,7.199557856794634,7.199557856794634,km
l3649301.1,l3649302.1,l3649301,l3649302,1,Line.ln6900591-14,1ph-2_acsrxx2_acsr,1,0.063060497,1.1223,0.896365,6.495819999999999,0.0707727957831,0.05652522239340499,0.4096296376225399,64,65,7.199557856794634,7.199557856794634,km
l3649302.1,l3649301.1,l3649302,l3649301,1,Line.ln6900591-14,1ph-2_acsrxx2_acsr,1,0.063060497,1.1223,0.896365,6.495819999999999,0.0707727957831,0.05652522239340499,0.4096296376225399,65,64,7.199557856794634,7.199557856794634,km
l2970842.2,m1089113.2,l2970842,m1089113,2,Line.ln6409873-1,1ph-x4_acsrx4_acsr,1,0.071877523,1.67466,0.93456,6.32285,0.12037041266718,0.06717385789487999,0.45447079630055,66,67,7.199557856794634,7.199557856794634,km
m1089113.2,l2970842.2,m1089113,l2970842,2,Line.ln6409873-1,1ph-x4_acsrx4_acsr,1,0.071877523,1.67466,0.93456,6.32285,0.12037041266718,0.06717385789487999,0.45447079630055,67,66,7.199557856794634,7.199557856794634,km
m1047312.1,p893163.1,m1047312,p893163,1,Line.ln6014135-1,1ph-4_wpalxx4_acsr,1,0.004144648,1.63124,0.898979,6.32285,0.00676091560352,0.003725951514392,0.0262059876068,68,71,7.199557856794634,7.199557856794634,km
p893163.1,m1047312.1,p893163,m1047312,1,Line.ln6014135-1,1ph-4_wpalxx4_acsr,1,0.004144648,1.63124,0.898979,6.32285,0.00676091560352,0.003725951514392,0.0262059876068,71,68,7.199557856794634,7.199557856794634,km
l2822871.1,m1026872.1,l2822871,m1026872,1,Line.ln6077784-1,3ph_h-2/0_acsr2/0_acsr2/0_acsr2_acsr,3,0.060144485,0.66087,0.869947,8.3452,0.03974768580195,0.052322514292295,0.501917756222,72,75,7.199557856794634,7.199557856794634,km
m1026872.1,l2822871.1,m1026872,l2822871,1,Line.ln6077784-1,3ph_h-2/0_acsr2/0_acsr2/0_acsr2_acsr,3,0.060144485,0.66087,0.869947,8.3452,0.03974768580195,0.052322514292295,0.501917756222,75,72,7.199557856794634,7.199557856794634,km
l2822871.2,m1026872.2,l2822871,m1026872,2,Line.ln6077784-1,3ph_h-2/0_acsr2/0_acsr2/0_acsr2_acsr,3,0.060144485,0.653999,0.878528,8.72099,0.039334433045514997,0.052838614118079996,0.52451945224015,73,76,7.199557856794634,7.199557856794634,km
m1026872.2,l2822871.2,m1026872,l2822871,2,Line.ln6077784-1,3ph_h-2/0_acsr2/0_acsr2/0_acsr2_acsr,3,0.060144485,0.653999,0.878528,8.72099,0.039334433045514997,0.052838614118079996,0.52451945224015,76,73,7.199557856794634,7.199557856794634,km
l2822871.3,m1026872.3,l2822871,m1026872,3,Line.ln6077784-1,3ph_h-2/0_acsr2/0_acsr2/0_acsr2_acsr,3,0.060144485,0.663007,0.8673,8.57671,0.039876214566395,0.05216331184049999,0.51584180594435,74,77,7.199557856794634,7.199557856794634,km
m1026872.3,l2822871.3,m1026872,l2822871,3,Line.ln6077784-1,3ph_h-2/0_acsr2/0_acsr2/0_acsr2_acsr,3,0.060144485,0.663007,0.8673,8.57671,0.039876214566395,0.05216331184049999,0.51584180594435,77,74,7.199557856794634,7.199557856794634,km
m1026312.2,l2973163.2,m1026312,l2973163,2,Line.ln5744338-1,1ph-x4_acsrx4_wpal,1,0.053487035,1.67723,0.932411,6.32285,0.08971005971305,0.049871899791385,0.33819049924975003,78,79,7.199557856794634,7.199557856794634,km
l2973163.2,m1026312.2,l2973163,m1026312,2,Line.ln5744338-1,1ph-x4_acsrx4_wpal,1,0.053487035,1.67723,0.932411,6.32285,0.08971005971305,0.049871899791385,0.33819049924975003,79,78,7.199557856794634,7.199557856794634,km
l3728038.1,l3728039.1,l3728038,l3728039,1,Line.ln6991381-4,1ph-2_acsrxx2_acsr,1,0.079108815,1.1223,0.896365,6.495819999999999,0.0887838230745,0.070910372957475,0.5138766226532999,80,81,7.199557856794634,7.199557856794634,km
l3728039.1,l3728038.1,l3728039,l3728038,1,Line.ln6991381-4,1ph-2_acsrxx2_acsr,1,0.079108815,1.1223,0.896365,6.495819999999999,0.0887838230745,0.070910372957475,0.5138766226532999,81,80,7.199557856794634,7.199557856794634,km
m1069567.2,m1069582.2,m1069567,m1069582,2,Line.ln5774480-1,1ph-x4_acsrx4_acsr,1,0.1529554,1.67466,0.93456,6.32285,0.256148290164,0.14294599862399998,0.9671140508899999,82,83,7.199557856794634,7.199557856794634,km
m1069582.2,m1069567.2,m1069582,m1069567,2,Line.ln5774480-1,1ph-x4_acsrx4_acsr,1,0.1529554,1.67466,0.93456,6.32285,0.256148290164,0.14294599862399998,0.9671140508899999,83,82,7.199557856794634,7.199557856794634,km
n1140830.1,l3216351.1,n1140830,l3216351,1,Line.ln5986938-3,1ph-4_acsrxx4_acsr,1,0.00873965,1.67466,0.93456,6.32285,0.014635942269,0.008167727304,0.0552594960025,84,85,7.199557856794634,7.199557856794634,km
l3216351.1,n1140830.1,l3216351,n1140830,1,Line.ln5986938-3,1ph-4_acsrxx4_acsr,1,0.00873965,1.67466,0.93456,6.32285,0.014635942269,0.008167727304,0.0552594960025,85,84,7.199557856794634,7.199557856794634,km
l2952007.3,l2861158.3,l2952007,l2861158,3,Line.ln5894230-1,1ph-xx4_acsr4_acsr,1,0.12654648,1.67466,0.93456,6.32285,0.21192232819679999,0.11826527834879998,0.8001344110679999,86,87,7.199557856794634,7.199557856794634,km
l2861158.3,l2952007.3,l2861158,l2952007,3,Line.ln5894230-1,1ph-xx4_acsr4_acsr,1,0.12654648,1.67466,0.93456,6.32285,0.21192232819679999,0.11826527834879998,0.8001344110679999,87,86,7.199557856794634,7.199557856794634,km
n1140827.1,m1026726.1,n1140827,m1026726,1,Line.ln5683858-3,3ph_h-4_acsr4_acsr4_acsr4_acsr,3,0.017268995,1.6834,0.9273,7.600980000000001,0.029070626183,0.0160135390635,0.1312612856151,88,91,7.199557856794634,7.199557856794634,km
m1026726.1,n1140827.1,m1026726,n1140827,1,Line.ln5683858-3,3ph_h-4_acsr4_acsr4_acsr4_acsr,3,0.017268995,1.6834,0.9273,7.600980000000001,0.029070626183,0.0160135390635,0.1312612856151,91,88,7.199557856794634,7.199557856794634,km
n1140827.2,m1026726.2,n1140827,m1026726,2,Line.ln5683858-3,3ph_h-4_acsr4_acsr4_acsr4_acsr,3,0.017268995,1.67686,0.932728,7.88811,0.028957686955699998,0.01610727516836,0.13621973214945,89,92,7.199557856794634,7.199557856794634,km
m1026726.2,n1140827.2,m1026726,n1140827,2,Line.ln5683858-3,3ph_h-4_acsr4_acsr4_acsr4_acsr,3,0.017268995,1.67686,0.932728,7.88811,0.028957686955699998,0.01610727516836,0.13621973214945,92,89,7.199557856794634,7.199557856794634,km
n1140827.3,m1026726.3,n1140827,m1026726,3,Line.ln5683858-3,3ph_h-4_acsr4_acsr4_acsr4_acsr,3,0.017268995,1.68543,0.925637,7.78037,0.029105682242849998,0.015984820724815,0.13435917062814998,90,93,7.199557856794634,7.199557856794634,km
m1026726.3,n1140827.3,m1026726,n1140827,3,Line.ln5683858-3,3ph_h-4_acsr4_acsr4_acsr4_acsr,3,0.017268995,1.68543,0.925637,7.78037,0.029105682242849998,0.015984820724815,0.13435917062814998,93,90,7.199557856794634,7.199557856794634,km
l2730106.1,n1142099.1,l2730106,n1142099,1,Line.ln5920279-5,3ph_h-397_acsr397_acsr397_acsr2/0_acsr,3,0.022369032,0.270019,0.695974,9.13606,0.006040063651608,0.015568264677168,0.20436481849392002,94,97,7.199557856794634,7.199557856794634,km
n1142099.1,l2730106.1,n1142099,l2730106,1,Line.ln5920279-5,3ph_h-397_acsr397_acsr397_acsr2/0_acsr,3,0.022369032,0.270019,0.695974,9.13606,0.006040063651608,0.015568264677168,0.20436481849392002,97,94,7.199557856794634,7.199557856794634,km
l2730106.2,n1142099.2,l2730106,n1142099,2,Line.ln5920279-5,3ph_h-397_acsr397_acsr397_acsr2/0_acsr,3,0.022369032,0.264634,0.708729,9.62226,0.005919606414288,0.015853581680328,0.21524064185232003,95,98,7.199557856794634,7.199557856794634,km
n1142099.2,l2730106.2,n1142099,l2730106,2,Line.ln5920279-5,3ph_h-397_acsr397_acsr397_acsr2/0_acsr,3,0.022369032,0.264634,0.708729,9.62226,0.005919606414288,0.015853581680328,0.21524064185232003,98,95,7.199557856794634,7.199557856794634,km
l2730106.3,n1142099.3,l2730106,n1142099,3,Line.ln5920279-5,3ph_h-397_acsr397_acsr397_acsr2/0_acsr,3,0.022369032,0.271698,0.692021,9.43197,0.006077621256336,0.015479839893672,0.21098403875304,96,99,7.199557856794634,7.199557856794634,km
n1142099.3,l2730106.3,n1142099,l2730106,3,Line.ln5920279-5,3ph_h-397_acsr397_acsr397_acsr2/0_acsr,3,0.022369032,0.271698,0.692021,9.43197,0.006077621256336,0.015479839893672,0.21098403875304,99,96,7.199557856794634,7.199557856794634,km
m1026658.1,l3172805.1,m1026658,l3172805,1,Line.ln6439600-1,1ph-2_acsrxx2_acsr,1,0.10668036,1.1223,0.896365,6.495819999999999,0.119727368028,0.0956245408914,0.6929764160951999,100,103,7.199557856794634,7.199557856794634,km
l3172805.1,m1026658.1,l3172805,m1026658,1,Line.ln6439600-1,1ph-2_acsrxx2_acsr,1,0.10668036,1.1223,0.896365,6.495819999999999,0.119727368028,0.0956245408914,0.6929764160951999,103,100,7.199557856794634,7.199557856794634,km
p895112.1,l3048962.1,p895112,l3048962,1,Line.ln5589097-1,1ph-2_acsrxx4_acsr,1,0.025604159,1.12339,0.937794,6.495819999999999,0.028763456179010004,0.024011426685246,0.16632000811538,104,105,7.199557856794634,7.199557856794634,km
l3048962.1,p895112.1,l3048962,p895112,1,Line.ln5589097-1,1ph-2_acsrxx4_acsr,1,0.025604159,1.12339,0.937794,6.495819999999999,0.028763456179010004,0.024011426685246,0.16632000811538,105,104,7.199557856794634,7.199557856794634,km
l2991914.1,m1047503.1,l2991914,m1047503,1,Line.ln5651975-1,3ph_h-4_acsr4_acsr4_acsr4_acsr,3,0.035650057,1.6834,0.9273,7.600980000000001,0.0600133059538,0.0330582978561,0.27097537025586,106,109,7.199557856794634,7.199557856794634,km
m1047503.1,l2991914.1,m1047503,l2991914,1,Line.ln5651975-1,3ph_h-4_acsr4_acsr4_acsr4_acsr,3,0.035650057,1.6834,0.9273,7.600980000000001,0.0600133059538,0.0330582978561,0.27097537025586,109,106,7.199557856794634,7.199557856794634,km
l2991914.2,m1047503.2,l2991914,m1047503,2,Line.ln5651975-1,3ph_h-4_acsr4_acsr4_acsr4_acsr,3,0.035650057,1.67686,0.932728,7.88811,0.05978015458102,0.033251806365495996,0.28121157112227,107,110,7.199557856794634,7.199557856794634,km
m1047503.2,l2991914.2,m1047503,l2991914,2,Line.ln5651975-1,3ph_h-4_acsr4_acsr4_acsr4_acsr,3,0.035650057,1.67686,0.932728,7.88811,0.05978015458102,0.033251806365495996,0.28121157112227,110,107,7.199557856794634,7.199557856794634,km
l2991914.3,m1047503.3,l2991914,m1047503,3,Line.ln5651975-1,3ph_h-4_acsr4_acsr4_acsr4_acsr,3,0.035650057,1.68543,0.925637,7.78037,0.06008567556951,0.032999011811309,0.27737063398108996,108,111,7.199557856794634,7.199557856794634,km
m1047503.3,l2991914.3,m1047503,l2991914,3,Line.ln5651975-1,3ph_h-4_acsr4_acsr4_acsr4_acsr,3,0.035650057,1.68543,0.925637,7.78037,0.06008567556951,0.032999011811309,0.27737063398108996,111,108,7.199557856794634,7.199557856794634,km
m1047751.1,l2973154.1,m1047751,l2973154,1,Line.ln5865236-1,1ph-4_acsrxx4_acsr,1,0.00930772,1.67466,0.93456,6.32285,0.0155872663752,0.0086986228032,0.058851317402,112,113,7.199557856794634,7.199557856794634,km
l2973154.1,m1047751.1,l2973154,m1047751,1,Line.ln5865236-1,1ph-4_acsrxx4_acsr,1,0.00930772,1.67466,0.93456,6.32285,0.0155872663752,0.0086986228032,0.058851317402,113,112,7.199557856794634,7.199557856794634,km
l3010565.3,l2897775.3,l3010565,l2897775,3,Line.ln5593232-1,1ph-xx2_acsr2_acsr,1,0.14082596,1.1223,0.896365,6.495819999999999,0.15804897490800002,0.1262314616354,0.9147800874871999,114,115,7.199557856794634,7.199557856794634,km
l2897775.3,l3010565.3,l2897775,l3010565,3,Line.ln5593232-1,1ph-xx2_acsr2_acsr,1,0.14082596,1.1223,0.896365,6.495819999999999,0.15804897490800002,0.1262314616354,0.9147800874871999,115,114,7.199557856794634,7.199557856794634,km
m1125955.3,m1125957.3,m1125955,m1125957,3,Line.ln5740283-1,1ph-xx4_wpal4_wpal,1,0.00682612,1.63382,0.89683,6.32285,0.0111526513784,0.0061218691996,0.043160532842,116,117,7.199557856794634,7.199557856794634,km
m1125957.3,m1125955.3,m1125957,m1125955,3,Line.ln5740283-1,1ph-xx4_wpal4_wpal,1,0.00682612,1.63382,0.89683,6.32285,0.0111526513784,0.0061218691996,0.043160532842,117,116,7.199557856794634,7.199557856794634,km
