t_index,t_minutes,p_load_kw_set_total,q_load_kvar_set_total,p_pv_pmpp_kw_set_total
68,340,1425.7158850972605,823.6674665412356,1025.864251942589
69,345,1392.3878769172013,843.3303350564983,936.4603958200303
70,350,1436.8097026478108,828.3161888387981,997.6259121129433
71,355,1439.2419404791583,851.0387562931231,1020.3415162004028
72,360,1423.8486614166582,855.5116023876668,1021.3708187549502
73,365,1377.8526964955458,844.6810045950344,1010.995129011774
74,370,1410.1665525829967,844.5612090862829,956.0618527838992
75,375,1419.4723687505648,851.649309256389,1062.0321569244416
76,380,1420.3814042347321,835.6525270748409,934.4540042990943
77,385,1446.3462868853542,835.1404522425031,1052.5422555563612
78,390,1404.4689537128704,837.6505187052128,1034.8611693677683
79,395,1463.9691275546288,833.0785999014222,1045.9668483889966
80,400,1377.5266488469267,826.4415934208125,945.5126557178143
81,405,1400.0258926285667,822.1218599023018,918.3731725845237
82,410,1383.0969782440075,842.6181255818756,1043.3920329742373
83,415,1392.5586969164492,834.7099846599871,1091.9826103569917
84,420,1432.95970932408,830.3459510794421,988.9323585775346
85,425,1394.653399130976,854.3938328962115,1051.4908216486974
86,430,1395.1759697693758,851.947299603245,1022.177664014392
87,435,1414.863110030378,839.7699803820631,953.3112740897045
88,440,1412.9412020360992,840.9939133703836,961.79038415996
89,445,1425.6228778369564,842.1345486712771,1037.5268958249992
90,450,1428.9208675857774,854.1266280605714,943.8796774659534
91,455,1411.2998442471574,829.80473074895,971.8129717082822
92,460,1434.4823255077715,846.7207456316847,940.3078151931032
93,465,1374.7311674208638,848.173502045778,1041.9444404995975
94,470,1398.6787781670037,826.2662693596797,1004.5063564498497
95,475,1391.3620402920208,834.9573491422341,996.5452251441683
96,480,1403.8625912129578,865.8852564226071,1022.6852865738401
97,485,1476.0306554574263,849.2016900871386,968.0771703242692
98,490,1398.8345200668455,841.2613855828671,989.4403427593104
99,495,1419.6817441598778,838.3602935639831,1067.1707921117031
100,500,1416.8607367907755,838.5580603533213,989.3393197188836
101,505,1399.651100215066,828.023219214584,966.0871641278848
102,510,1424.9362641120395,874.5225188963085,979.1705473116701
103,515,1410.4122742750417,819.4955885318426,951.5905849815686
104,520,1399.4887442622671,824.1538164589934,995.634406474581
105,525,1456.3611586867441,823.5901479655346,997.7972970459338
106,530,1398.2513201381814,856.6402965283593,990.6537739775083
107,535,1460.557390746312,820.1214375175146,1054.0477273145682
108,540,1417.2078639711337,825.8898439129372,969.8907272139693
109,545,1448.207806543201,819.1801690545356,1031.3429177166245
110,550,1418.0696532546133,838.8581818807928,1027.9140162563522
111,555,1408.6683103718874,851.9868446091076,1015.1200804650709
112,560,1373.8673040837136,835.8503537592761,1073.6973904305069
113,565,1430.2929155777301,822.7814993321078,1060.5031792338827
114,570,1419.5770998389214,822.2323808079735,978.0381689872895
115,575,1385.3642792918288,826.3601611109777,999.7918060363731
116,580,1422.8892451746626,836.9682437181687,1007.8198142839765
117,585,1424.5898811019597,831.4603284108988,987.2501685655393
118,590,1393.8941729615713,818.7006923994164,957.6169016108812
119,595,1372.9032569008907,848.6365444388956,967.9650041130452
120,600,1426.950133454026,805.3031860383323,1075.2838321909453
121,605,1387.178677482023,818.1646939775679,1060.7240136480136
122,610,1394.6726197834269,846.7761622583286,1040.3227239238197
123,615,1415.0255350157083,824.1056037422777,1012.2734135842081
124,620,1408.7053012781043,836.2680437207281,1058.7200988545083
125,625,1404.3332810398751,845.3355602354378,931.8917514646002
126,630,1433.842517554265,838.3652726600751,905.5649482048595
127,635,1390.6840376779805,822.3791949782184,958.949329349834
128,640,1372.4116556038343,857.3429818991128,1001.8732994061446
129,645,1404.5595960688515,835.0458343957226,1034.251685233828
130,650,1410.1917105023042,825.8286035993062,999.1489168609473
131,655,1360.5578545467852,839.6135083327022,1001.2191900046212
132,660,1417.4599850066622,815.1907253148323,965.6910282410631
133,665,1412.0281122651634,850.7042821445034,1014.575849922683
134,670,1365.0356715677774,827.4803280938359,965.1002097644473
135,675,1424.0108318041669,861.8758630612951,969.6001009258068
136,680,1384.9371375700464,855.5097059458794,954.7375122746955
137,685,1423.0096081508761,842.1230310410357,1027.5622147668712
138,690,1423.662576133323,832.4104024032025,888.5904949674004
139,695,1381.3981423650055,838.0122923135294,964.5997484146526
140,700,1372.09716158609,873.0407011815226,1027.4946314777035
141,705,1460.1118301555816,825.276750419775,1019.9321535820272
142,710,1377.997297627506,826.2569944063162,1073.9928384028467
143,715,1422.1262097650015,857.3585795678331,965.7295828092181
144,720,1427.9430179907172,836.3512838161147,976.2328240725069
145,725,1402.5452174009492,815.4818693434731,1017.7179510509553
146,730,1418.5079243878279,849.0265878353653,938.8676916446632
147,735,1395.0785355924286,832.3121406310298,996.1054625968841
148,740,1427.98786566546,817.720681377797,983.1360661585372
149,745,1431.091296311544,847.0852245540589,1000.3437939514929
150,750,1503.641232363829,811.2623787607786,1046.9095652976146
151,755,1394.719795847485,845.9622041803035,1016.6583419309575
152,760,1448.931476049467,825.5998899723184,1023.274879884472
153,765,1399.3395543353959,834.2596704580535,908.7994503030345
154,770,1397.6300971565279,822.3429262240074,1002.6257198006012
155,775,1452.9615814109864,839.3973502527748,1051.9971932786166
156,780,1407.8318705270701,863.0915346152273,942.027690064199
157,785,1399.7392044944165,853.6184155266978,1007.27686930062
158,790,1436.5321546853093,852.2860806093082,995.7887429418772
159,795,1435.1625496148815,825.5752297181397,978.7372138581902
160,800,1423.5572729440112,820.278560548361,908.2273476590417
161,805,1438.4863236763847,851.1579875467055,972.5489349544623
162,810,1395.284246502254,811.4029902241267,993.0842480497043
163,815,1438.870885784325,841.6951156728775,994.617233718634
164,820,1380.7463159971846,821.4269038949981,1015.4816540244065
165,825,1398.2899834608259,839.7480487821501,1024.0520468352372
166,830,1401.2860787501354,825.3916519825284,1021.4170511054857
167,835,1394.499582225731,851.9178978519157,1019.4067043211501
168,840,1438.7140006058112,861.0284236061037,960.1319775028575
169,845,1422.585407761205,848.8427783794933,1032.6604550975712
170,850,1391.469744059159,832.0440101636793,995.5953156523475
171,855,1390.7630123133292,860.4141284641258,980.9724357134005
172,860,1447.3762221374034,830.8806155654771,1000.2668911380758
173,865,1395.0465353461743,855.3207558339286,1008.2520274400974
174,870,1427.7877077120856,834.4137410656092,1017.3969281482025
175,875,1422.321954333905,830.9778638349471,1003.4142608919836
176,880,1412.3843927365197,855.6201604760209,977.6217258831598
177,885,1434.3185169497729,845.8026147537004,969.8319944378816
178,890,1403.235538277871,849.9381037910235,1001.6936341476326
179,895,1408.987858763827,838.9730979474939,1012.2663976634183
180,900,1416.7546327184461,837.6235374326255,1057.3137701187466
181,905,1402.9636923965554,841.1134440142089,932.8994688758837
182,910,1392.899014091907,831.5939852048189,967.2513863297481
183,915,1386.613508534593,827.0243678557486,1032.5652614371302
184,920,1479.797476774572,831.4291542864179,989.3687809716779
185,925,1436.9600767093686,833.1309422406828,1085.103442375521
186,930,1418.2826576152386,839.8977607592016,985.709038529949
187,935,1413.4162732476098,835.8451070903441,1029.5512344066913
188,940,1413.9140911946097,833.7577607683488,1010.3173440317166
189,945,1437.7633614070257,844.7425439418197,960.1081488090219
190,950,1414.6685833883066,811.5564265421032,991.255201935236
191,955,1433.700339265766,809.0090516044144,955.8707635887602
192,960,1391.1398737731054,826.8978974699895,953.7800955914947
193,965,1406.8301297749153,844.8670647910487,1088.204696883196
194,970,1433.003642546859,810.3248049664187,979.0715484431494
195,975,1380.1686728705733,844.4373333871852,990.1282418498802
196,980,1409.1287534774701,808.3733866056225,1034.0067983828087
197,985,1457.0484969681165,839.733769098456,976.3631800913621
198,990,1405.460583097745,831.8441391086436,934.1521882823665
199,995,1403.4589529375103,849.8663923993768,1035.478392900247
200,1000,1403.6257703395693,862.8603119063335,895.9264563416378
201,1005,1440.823225556507,840.9323280561415,990.4226599772719
202,1010,1422.991817926131,810.951847218203,1040.5094689533926
203,1015,1418.119585262042,853.4967919785564,1015.4090077903431
204,1020,1422.0913965095374,815.8458818221044,1024.3583350232084
205,1025,1439.1753493914896,840.2921049620375,1036.309443866407
206,1030,1442.6987016096557,853.5527082256607,968.4658704222709
207,1035,1411.873274312703,818.4903382489248,1020.4743490930471
208,1040,1368.727789181892,821.7318838135736,973.1238372198391
209,1045,1452.9431547531292,844.4109229869026,961.2591969934972
210,1050,1424.2422824567486,864.2878377324934,1016.0069067696529
211,1055,1420.506079980031,834.4238166995679,1022.1074148667287
212,1060,1434.25988129856,844.4134389352441,1035.3859773569293
213,1065,1366.6785880665122,840.4401218768801,995.627172681422
214,1070,1443.6364466257432,823.522867621094,974.3311932132349
215,1075,1407.1938381702196,844.5049145079145,985.8294600372826
216,1080,1466.2997434812232,822.5010468389148,1042.314274363925
217,1085,1451.8475884514744,818.1323414026184,979.1532652889656
218,1090,1407.6948917458662,825.8788580335231,1033.124554260586
219,1095,1373.1905689667158,852.2269140685156,1012.0781384187774
220,1100,1419.3582199667562,847.1843162047699,990.4359635120989
221,1105,1420.9126433026233,803.7299802891267,949.147490963227
222,1110,1411.528840670667,828.7260445624567,1008.7220489758049
223,1115,1421.0892453586205,839.500173998389,1039.5387434299168
224,1120,1372.9933759631137,853.9563903825442,1052.053668643402
225,1125,1405.3974191612854,858.5668199780675,1001.3570031438676
226,1130,1458.1579175598204,848.8344604658799,922.134165702121
227,1135,1455.296251507933,834.101163573842,978.0710641174031
228,1140,1407.9309446619745,830.2999974637523,961.0573915247232
229,1145,1412.2341548388679,845.0251225863888,1011.6709443098812
230,1150,1476.1258993303786,844.3528109707182,974.7328758681905
231,1155,1424.330506597975,836.5650981038849,1021.1145697583972
232,1160,1443.3629997902178,822.1476770234203,982.0917957278944
233,1165,1438.1072027131904,847.1477838932551,1007.7103909177948
234,1170,1396.5305861454747,837.0167892086404,970.10637256371
235,1175,1377.8121071068833,846.8519685576983,989.2936934994455
236,1180,1424.3400820811305,833.0021604468787,1028.897129857743
237,1185,1419.448556737413,873.0560018917809,998.0504788296025
238,1190,1411.416298551854,823.8148926804527,966.0024448744189
239,1195,1467.1826344742044,822.2595367534349,1029.935604875809
240,1200,1427.9386572756566,831.8851098063498,1038.214896514612
241,1205,1411.00950754591,831.8633564554061,995.1291459992033
242,1210,1401.0566241219547,818.0991843604647,947.599900974534
243,1215,1429.0470668881592,829.7788778736999,978.7046645633436
244,1220,1374.247528338533,842.3339286059769,1031.8573172081487
245,1225,1391.507753319812,838.7051976856181,990.9279679967898
246,1230,1369.3709765430258,819.1668841509055,1030.8412243273879
247,1235,1420.2336029655942,861.2786304742292,951.6586230650178
248,1240,1433.5416394428999,845.0872572331238,990.6532639868835
249,1245,1376.8367856294103,803.7315961397624,983.5276781778534
250,1250,1427.4894934931242,819.0033024443684,959.6933723434231
251,1255,1407.6642883731652,853.2422330778259,1018.3004147464582
252,1260,1426.5266220125236,824.653780248194,1085.0333483615705
253,1265,1365.9676480520636,846.6416095296094,962.916022518503
254,1270,1421.113831189979,823.585570916901,1033.2159519927345
255,1275,1385.0448281570561,840.6808528867161,1013.8173445045486
256,1280,1389.6237321657977,843.4070980567456,994.8548479540398
257,1285,1413.6953455754983,832.0029510868635,1035.0082797043797
258,1290,1395.0486142968896,843.9101156781215,923.744559048175
259,1295,1388.6583686773126,856.5020885956234,1007.8978843955294
260,1300,1430.5149829528684,841.219115048623,1027.527565298392
261,1305,1438.3663457571224,821.5287039729445,1019.0688669721824
262,1310,1380.7953221267576,826.579188571899,946.0096887512129
263,1315,1408.0628007290684,833.6822757058734,977.3416803221276
264,1320,1406.2665272195386,823.7348828521275,976.3464751118529
265,1325,1398.1522775890255,849.1480949895855,961.7979141134593
266,1330,1427.6057292690364,821.6839718696234,1046.8631541653062
267,1335,1340.014027895125,864.891056132528,1021.28052327717
268,1340,1412.7178516669005,835.7986611320499,1048.2533950969957
269,1345,1410.5024636904707,843.3604290525005,1005.8618088657721
270,1350,1453.0017968465122,821.9503940383669,1009.4962985523964
271,1355,1426.1558308534848,827.4518644104912,1003.2299434393494
272,1360,1409.4332570183797,847.5349556221627,1029.957295829573
273,1365,1418.5357376317718,852.4652808729481,924.5189435290961
274,1370,1405.6873889210683,846.6856651790669,1009.1977200375022
275,1375,1432.7251193305854,823.9392714037456,1011.5242400404293
276,1380,1456.8591564571966,848.7116750784575,1005.1040162893215
277,1385,1418.6939526219871,807.2803255652288,950.6025653276066
278,1390,1429.0403589498912,853.3229695808058,1008.9261494997652
279,1395,1395.275920028541,834.9047949508139,967.3323299528435
280,1400,1417.8374696875546,855.8633718323769,1027.6123645601756
281,1405,1402.5284006488735,808.4148916860881,1027.8154621522203
282,1410,1411.6166256387426,824.4979180416522,988.1654841392573
283,1415,1391.211404670346,838.5954735297042,1010.4657423074837
284,1420,1436.1041248024267,847.5042129837451,995.4979324961519
285,1425,1398.9787765369247,837.7068721696095,1063.2055850409708
286,1430,1396.5790816061262,829.0287506866488,1002.4862332326168
287,1435,1391.9184799329828,809.8668498899269,1058.692784398992
