mv_node,lv_x_node_1,lv_x_node_2,sx_node_1,sx_node_2
L3027124.3,X3027124C.1,X3027124C.2,SX3027124C.1,SX3027124C.2
L2954361.2,X2954361B.1,X2954361B.2,SX2954361B.1,SX2954361B.2
L2745811.3,X2745811C.1,X2745811C.2,SX2745811C.1,SX2745811C.2
L2841633.1,X2841633A.1,X2841633A.2,SX2841633A.1,SX2841633A.2
L2917359.1,X2917359A.1,X2917359A.2,SX2917359A.1,SX2917359A.2
L2748158.1,X2748158A.1,X2748158A.2,SX2748158A.1,SX2748158A.2
L2955047.1,X2955047A.1,X2955047A.2,SX2955047A.1,SX2955047A.2
L3122837.3,X3122837C.1,X3122837C.2,SX3122837C.1,SX3122837C.2
L2804269.2,X2804269B.1,X2804269B.2,SX2804269B.1,SX2804269B.2
L3157708.3,X3157708C.1,X3157708C.2,SX3157708C.1,SX3157708C.2
L3179682.3,X3179682C.1,X3179682C.2,SX3179682C.1,SX3179682C.2
L2822877.2,X2822877B.1,X2822877B.2,SX2822877B.1,SX2822877B.2
L3141393.3,X3141393C.1,X3141393C.2,SX3141393C.1,SX3141393C.2
L2897801.1,X2897801A.1,X2897801A.2,SX2897801A.1,SX2897801A.2
L3217056.1,X3217056A.1,X3217056A.2,SX3217056A.1,SX3217056A.2
L2936270.1,X2936270A.1,X2936270A.2,SX2936270A.1,SX2936270A.2
L3235249.1,X3235249A.1,X3235249A.2,SX3235249A.1,SX3235249A.2
L3217052.3,X3217052C.1,X3217052C.2,SX3217052C.1,SX3217052C.2
L2916598.1,X2916598A.1,X2916598A.2,SX2916598A.1,SX2916598A.2
L3048206.1,X3048206A.1,X3048206A.2,SX3048206A.1,SX3048206A.2
L3141402.3,X3141402C.1,X3141402C.2,SX3141402C.1,SX3141402C.2
L3235256.1,X3235256A.1,X3235256A.2,SX3235256A.1,SX3235256A.2
L3178973.1,X3178973A.1,X3178973A.2,SX3178973A.1,SX3178973A.2
L3197654.1,X3197654A.1,X3197654A.2,SX3197654A.1,SX3197654A.2
L3066809.3,X3066809C.1,X3066809C.2,SX3066809C.1,SX3066809C.2
L2766742.2,X2766742B.1,X2766742B.2,SX2766742B.1,SX2766742B.2
L2991908.1,X2991908A.1,X2991908A.2,SX2991908A.1,SX2991908A.2
L3065750.2,X3065750B.1,X3065750B.2,SX3065750B.1,SX3065750B.2
L3085401.1,X3085401A.1,X3085401A.2,SX3085401A.1,SX3085401A.2
L2729413.1,X2729413A.1,X2729413A.2,SX2729413A.1,SX2729413A.2
L3254915.2,X3254915B.1,X3254915B.2,SX3254915B.1,SX3254915B.2
L2748131.2,X2748131B.1,X2748131B.2,SX2748131B.1,SX2748131B.2
L3066810.3,X3066810C.1,X3066810C.2,SX3066810C.1,SX3066810C.2
L2973146.2,X2973146B.1,X2973146B.2,SX2973146B.1,SX2973146B.2
L2973180.2,X2973180B.1,X2973180B.2,SX2973180B.1,SX2973180B.2
L2973167.2,X2973167B.1,X2973167B.2,SX2973167B.1,SX2973167B.2
L2841621.3,X2841621C.1,X2841621C.2,SX2841621C.1,SX2841621C.2
L3123509.3,X3123509C.1,X3123509C.2,SX3123509C.1,SX3123509C.2
L2841627.1,X2841627A.1,X2841627A.2,SX2841627A.1,SX2841627A.2
L3235250.2,X3235250B.1,X3235250B.2,SX3235250B.1,SX3235250B.2
L3728037.1,X3728037A.1,X3728037A.2,SX3728037A.1,SX3728037A.2
L3142078.2,X3142078B.1,X3142078B.2,SX3142078B.1,SX3142078B.2
L2879066.2,X2879066B.1,X2879066B.2,SX2879066B.1,SX2879066B.2
L3235254.3,X3235254C.1,X3235254C.2,SX3235254C.1,SX3235254C.2
L2917330.1,X2917330A.1,X2917330A.2,SX2917330A.1,SX2917330A.2
L2914323.2,X2914323B.1,X2914323B.2,SX2914323B.1,SX2914323B.2
L3197640.3,X3197640C.1,X3197640C.2,SX3197640C.1,SX3197640C.2
L3179673.3,X3179673C.1,X3179673C.2,SX3179673C.1,SX3179673C.2
L3048228.3,X3048228C.1,X3048228C.2,SX3048228C.1,SX3048228C.2
L3104126.3,X3104126C.1,X3104126C.2,SX3104126C.1,SX3104126C.2
L2990098.1,X2990098A.1,X2990098A.2,SX2990098A.1,SX2990098A.2
L2879067.1,X2879067A.1,X2879067A.2,SX2879067A.1,SX2879067A.2
L3176656.1,X3176656A.1,X3176656A.2,SX3176656A.1,SX3176656A.2
L2710532.3,X2710532C.1,X2710532C.2,SX2710532C.1,SX2710532C.2
L3160115.2,X3160115B.1,X3160115B.2,SX3160115B.1,SX3160115B.2
L3103822.3,X3103822C.1,X3103822C.2,SX3103822C.1,SX3103822C.2
L2805034.1,X2805034A.1,X2805034A.2,SX2805034A.1,SX2805034A.2
L3157167.1,X3157167A.1,X3157167A.2,SX3157167A.1,SX3157167A.2
L2916620.1,X2916620A.1,X2916620A.2,SX2916620A.1,SX2916620A.2
L2916620.2,X2916620B.1,X2916620B.2,SX2916620B.1,SX2916620B.2
L2916620.3,X2916620C.1,X2916620C.2,SX2916620C.1,SX2916620C.2
L3027132.1,X3027132A.1,X3027132A.2,SX3027132A.1,SX3027132A.2
L2822862.3,X2822862C.1,X2822862C.2,SX2822862C.1,SX2822862C.2
L2937757.3,X2937757C.1,X2937757C.2,SX2937757C.1,SX2937757C.2
L2860483.2,X2860483B.1,X2860483B.2,SX2860483B.1,SX2860483B.2
L3048210.1,X3048210A.1,X3048210A.2,SX3048210A.1,SX3048210A.2
L3312692.1,X3312692A.1,X3312692A.2,SX3312692A.1,SX3312692A.2
L3251854.1,X3251854A.1,X3251854A.2,SX3251854A.1,SX3251854A.2
L3085398.2,X3085398B.1,X3085398B.2,SX3085398B.1,SX3085398B.2
L3254207.1,X3254207A.1,X3254207A.2,SX3254207A.1,SX3254207A.2
L2729424.1,X2729424A.1,X2729424A.2,SX2729424A.1,SX2729424A.2
L3066816.1,X3066816A.1,X3066816A.2,SX3066816A.1,SX3066816A.2
L2785518.3,X2785518C.1,X2785518C.2,SX2785518C.1,SX2785518C.2
L3029503.3,X3029503C.1,X3029503C.2,SX3029503C.1,SX3029503C.2
L2748140.1,X2748140A.1,X2748140A.2,SX2748140A.1,SX2748140A.2
L2891575.3,X2891575C.1,X2891575C.2,SX2891575C.1,SX2891575C.2
L2842329.3,X2842329C.1,X2842329C.2,SX2842329C.1,SX2842329C.2
L3254212.2,X3254212B.1,X3254212B.2,SX3254212B.1,SX3254212B.2
L3198348.1,X3198348A.1,X3198348A.2,SX3198348A.1,SX3198348A.2
L3178979.3,X3178979C.1,X3178979C.2,SX3178979C.1,SX3178979C.2
L2879054.1,X2879054A.1,X2879054A.2,SX2879054A.1,SX2879054A.2
L3085388.2,X3085388B.1,X3085388B.2,SX3085388B.1,SX3085388B.2
L2991914.3,X2991914C.1,X2991914C.2,SX2991914C.1,SX2991914C.2
L2785534.2,X2785534B.1,X2785534B.2,SX2785534B.1,SX2785534B.2
L3122835.2,X3122835B.1,X3122835B.2,SX3122835B.1,SX3122835B.2
L3085395.1,X3085395A.1,X3085395A.2,SX3085395A.1,SX3085395A.2
L2879064.1,X2879064A.1,X2879064A.2,SX2879064A.1,SX2879064A.2
L3066814.2,X3066814B.1,X3066814B.2,SX3066814B.1,SX3066814B.2
L2821087.1,X2821087A.1,X2821087A.2,SX2821087A.1,SX2821087A.2
L2860479.2,X2860479B.1,X2860479B.2,SX2860479B.1,SX2860479B.2
L3728042.1,X3728042A.1,X3728042A.2,SX3728042A.1,SX3728042A.2
L2935557.1,X2935557A.1,X2935557A.2,SX2935557A.1,SX2935557A.2
L2822864.3,X2822864C.1,X2822864C.2,SX2822864C.1,SX2822864C.2
L3235247.1,X3235247A.1,X3235247A.2,SX3235247A.1,SX3235247A.2
L3251807.1,X3251807A.1,X3251807A.2,SX3251807A.1,SX3251807A.2
L2804282.3,X2804282C.1,X2804282C.2,SX2804282C.1,SX2804282C.2
L2935560.3,X2935560C.1,X2935560C.2,SX2935560C.1,SX2935560C.2
L3104145.2,X3104145B.1,X3104145B.2,SX3104145B.1,SX3104145B.2
L3086078.1,X3086078A.1,X3086078A.2,SX3086078A.1,SX3086078A.2
L2860477.1,X2860477A.1,X2860477A.2,SX2860477A.1,SX2860477A.2
L3645811.3,X3645811C.1,X3645811C.2,SX3645811C.1,SX3645811C.2
L3102793.2,X3102793B.1,X3102793B.2,SX3102793B.1,SX3102793B.2
L2991910.2,X2991910B.1,X2991910B.2,SX2991910B.1,SX2991910B.2
L2710511.1,X2710511A.1,X2710511A.2,SX2710511A.1,SX2710511A.2
L2860486.3,X2860486C.1,X2860486C.2,SX2860486C.1,SX2860486C.2
L2935551.3,X2935551C.1,X2935551C.2,SX2935551C.1,SX2935551C.2
L2729409.2,X2729409B.1,X2729409B.2,SX2729409B.1,SX2729409B.2
L2973833.2,X2973833B.1,X2973833B.2,SX2973833B.1,SX2973833B.2
L2897769.3,X2897769C.1,X2897769C.2,SX2897769C.1,SX2897769C.2
L3216368.3,X3216368C.1,X3216368C.2,SX3216368C.1,SX3216368C.2
L2860490.1,X2860490A.1,X2860490A.2,SX2860490A.1,SX2860490A.2
L2861158.3,X2861158C.1,X2861158C.2,SX2861158C.1,SX2861158C.2
L3141399.3,X3141399C.1,X3141399C.2,SX3141399C.1,SX3141399C.2
L3122816.2,X3122816B.1,X3122816B.2,SX3122816B.1,SX3122816B.2
L2992556.3,X2992556C.1,X2992556C.2,SX2992556C.1,SX2992556C.2
L2897779.3,X2897779C.1,X2897779C.2,SX2897779C.1,SX2897779C.2
L2970811.1,X2970811A.1,X2970811A.2,SX2970811A.1,SX2970811A.2
L2991933.3,X2991933C.1,X2991933C.2,SX2991933C.1,SX2991933C.2
L2729428.1,X2729428A.1,X2729428A.2,SX2729428A.1,SX2729428A.2
L3254216.1,X3254216A.1,X3254216A.2,SX3254216A.1,SX3254216A.2
L2897807.2,X2897807B.1,X2897807B.2,SX2897807B.1,SX2897807B.2
L2898522.1,X2898522A.1,X2898522A.2,SX2898522A.1,SX2898522A.2
L3048230.3,X3048230C.1,X3048230C.2,SX3048230C.1,SX3048230C.2
L3195327.1,X3195327A.1,X3195327A.2,SX3195327A.1,SX3195327A.2
L3047058.1,X3047058A.1,X3047058A.2,SX3047058A.1,SX3047058A.2
L2673313.2,X2673313B.1,X2673313B.2,SX2673313B.1,SX2673313B.2
L3649302.1,X3649302A.1,X3649302A.2,SX3649302A.1,SX3649302A.2
L3729297.1,X3729297A.1,X3729297A.2,SX3729297A.1,SX3729297A.2
L2858163.1,X2858163A.1,X2858163A.2,SX2858163A.1,SX2858163A.2
L3214112.2,X3214112B.1,X3214112B.2,SX3214112B.1,SX3214112B.2
L2685805.1,X2685805A.1,X2685805A.2,SX2685805A.1,SX2685805A.2
L2991912.1,X2991912A.1,X2991912A.2,SX2991912A.1,SX2991912A.2
L3140238.1,X3140238A.1,X3140238A.2,SX3140238A.1,SX3140238A.2
L3066830.2,X3066830B.1,X3066830B.2,SX3066830B.1,SX3066830B.2
L3160878.3,X3160878C.1,X3160878C.2,SX3160878C.1,SX3160878C.2
L2916609.3,X2916609C.1,X2916609C.2,SX2916609C.1,SX2916609C.2
L2876814.1,X2876814A.1,X2876814A.2,SX2876814A.1,SX2876814A.2
L3197646.2,X3197646B.1,X3197646B.2,SX3197646B.1,SX3197646B.2
L2973151.1,X2973151A.1,X2973151A.2,SX2973151A.1,SX2973151A.2
L3197627.3,X3197627C.1,X3197627C.2,SX3197627C.1,SX3197627C.2
L2764412.1,X2764412A.1,X2764412A.2,SX2764412A.1,SX2764412A.2
L2766716.3,X2766716C.1,X2766716C.2,SX2766716C.1,SX2766716C.2
L2991917.2,X2991917B.1,X2991917B.2,SX2991917B.1,SX2991917B.2
L3254229.2,X3254229B.1,X3254229B.2,SX3254229B.1,SX3254229B.2
L2935556.2,X2935556B.1,X2935556B.2,SX2935556B.1,SX2935556B.2
L3197660.2,X3197660B.1,X3197660B.2,SX3197660B.1,SX3197660B.2
L2989565.1,X2989565A.1,X2989565A.2,SX2989565A.1,SX2989565A.2
L3645809.3,X3645809C.1,X3645809C.2,SX3645809C.1,SX3645809C.2
L3086075.2,X3086075B.1,X3086075B.2,SX3086075B.1,SX3086075B.2
L3122824.1,X3122824A.1,X3122824A.2,SX3122824A.1,SX3122824A.2
L3216338.2,X3216338B.1,X3216338B.2,SX3216338B.1,SX3216338B.2
L2729405.2,X2729405B.1,X2729405B.2,SX2729405B.1,SX2729405B.2
L2823545.1,X2823545A.1,X2823545A.2,SX2823545A.1,SX2823545A.2
L2916610.2,X2916610B.1,X2916610B.2,SX2916610B.1,SX2916610B.2
L3177665.1,X3177665A.1,X3177665A.2,SX3177665A.1,SX3177665A.2
L2803199.1,X2803199A.1,X2803199A.2,SX2803199A.1,SX2803199A.2
L2803199.2,X2803199B.1,X2803199B.2,SX2803199B.1,SX2803199B.2
L2803199.3,X2803199C.1,X2803199C.2,SX2803199C.1,SX2803199C.2
L2691952.1,X2691952A.1,X2691952A.2,SX2691952A.1,SX2691952A.2
L2748144.1,X2748144A.1,X2748144A.2,SX2748144A.1,SX2748144A.2
L3029504.2,X3029504B.1,X3029504B.2,SX3029504B.1,SX3029504B.2
L3197635.2,X3197635B.1,X3197635B.2,SX3197635B.1,SX3197635B.2
L2724120.3,X2724120C.1,X2724120C.2,SX2724120C.1,SX2724120C.2
L3235244.1,X3235244A.1,X3235244A.2,SX3235244A.1,SX3235244A.2
L2804254.1,X2804254A.1,X2804254A.2,SX2804254A.1,SX2804254A.2
L2820531.2,X2820531B.1,X2820531B.2,SX2820531B.1,SX2820531B.2
L3254214.2,X3254214B.1,X3254214B.2,SX3254214B.1,SX3254214B.2
L2691966.2,X2691966B.1,X2691966B.2,SX2691966B.1,SX2691966B.2
L3122822.1,X3122822A.1,X3122822A.2,SX3122822A.1,SX3122822A.2
L3197639.1,X3197639A.1,X3197639A.2,SX3197639A.1,SX3197639A.2
L3120503.1,X3120503A.1,X3120503A.2,SX3120503A.1,SX3120503A.2
L3216349.2,X3216349B.1,X3216349B.2,SX3216349B.1,SX3216349B.2
L3027670.2,X3027670B.1,X3027670B.2,SX3027670B.1,SX3027670B.2
L3085392.3,X3085392C.1,X3085392C.2,SX3085392C.1,SX3085392C.2
L3010556.1,X3010556A.1,X3010556A.2,SX3010556A.1,SX3010556A.2
L3232902.1,X3232902A.1,X3232902A.2,SX3232902A.1,SX3232902A.2
L3101782.1,X3101782A.1,X3101782A.2,SX3101782A.1,SX3101782A.2
L2766715.2,X2766715B.1,X2766715B.2,SX2766715B.1,SX2766715B.2
L2970804.3,X2970804C.1,X2970804C.2,SX2970804C.1,SX2970804C.2
L3178975.2,X3178975B.1,X3178975B.2,SX3178975B.1,SX3178975B.2
L2841648.1,X2841648A.1,X2841648A.2,SX2841648A.1,SX2841648A.2
L3029497.3,X3029497C.1,X3029497C.2,SX3029497C.1,SX3029497C.2
L3029520.2,X3029520B.1,X3029520B.2,SX3029520B.1,SX3029520B.2
L2766744.2,X2766744B.1,X2766744B.2,SX2766744B.1,SX2766744B.2
L3029518.2,X3029518B.1,X3029518B.2,SX3029518B.1,SX3029518B.2
L2936214.1,X2936214A.1,X2936214A.2,SX2936214A.1,SX2936214A.2
L2954346.2,X2954346B.1,X2954346B.2,SX2954346B.1,SX2954346B.2
L2879061.2,X2879061B.1,X2879061B.2,SX2879061B.1,SX2879061B.2
L3141394.2,X3141394B.1,X3141394B.2,SX3141394B.1,SX3141394B.2
L3142098.2,X3142098B.1,X3142098B.2,SX3142098B.1,SX3142098B.2
L3645812.3,X3645812C.1,X3645812C.2,SX3645812C.1,SX3645812C.2
L2916627.1,X2916627A.1,X2916627A.2,SX2916627A.1,SX2916627A.2
L3066815.3,X3066815C.1,X3066815C.2,SX3066815C.1,SX3066815C.2
L3179678.2,X3179678B.1,X3179678B.2,SX3179678B.1,SX3179678B.2
L3254237.1,X3254237A.1,X3254237A.2,SX3254237A.1,SX3254237A.2
L2710512.2,X2710512B.1,X2710512B.2,SX2710512B.1,SX2710512B.2
L3104125.2,X3104125B.1,X3104125B.2,SX3104125B.1,SX3104125B.2
L3010559.1,X3010559A.1,X3010559A.2,SX3010559A.1,SX3010559A.2
L2897790.3,X2897790C.1,X2897790C.2,SX2897790C.1,SX2897790C.2
L2711225.3,X2711225C.1,X2711225C.2,SX2711225C.1,SX2711225C.2
L2766729.1,X2766729A.1,X2766729A.2,SX2766729A.1,SX2766729A.2
L3235275.2,X3235275B.1,X3235275B.2,SX3235275B.1,SX3235275B.2
L3728038.1,X3728038A.1,X3728038A.2,SX3728038A.1,SX3728038A.2
L3048222.3,X3048222C.1,X3048222C.2,SX3048222C.1,SX3048222C.2
L2841630.3,X2841630C.1,X2841630C.2,SX2841630C.1,SX2841630C.2
L2991907.1,X2991907A.1,X2991907A.2,SX2991907A.1,SX2991907A.2
L2973144.3,X2973144C.1,X2973144C.2,SX2973144C.1,SX2973144C.2
L3178976.1,X3178976A.1,X3178976A.2,SX3178976A.1,SX3178976A.2
L3159448.1,X3159448A.1,X3159448A.2,SX3159448A.1,SX3159448A.2
L3231255.3,X3231255C.1,X3231255C.2,SX3231255C.1,SX3231255C.2
L3197626.3,X3197626C.1,X3197626C.2,SX3197626C.1,SX3197626C.2
L2802480.2,X2802480B.1,X2802480B.2,SX2802480B.1,SX2802480B.2
L2823544.1,X2823544A.1,X2823544A.2,SX2823544A.1,SX2823544A.2
L2841624.2,X2841624B.1,X2841624B.2,SX2841624B.1,SX2841624B.2
L3101194.3,X3101194C.1,X3101194C.2,SX3101194C.1,SX3101194C.2
L2841619.3,X2841619C.1,X2841619C.2,SX2841619C.1,SX2841619C.2
L2861218.3,X2861218C.1,X2861218C.2,SX2861218C.1,SX2861218C.2
L2710513.2,X2710513B.1,X2710513B.2,SX2710513B.1,SX2710513B.2
L2879062.3,X2879062C.1,X2879062C.2,SX2879062C.1,SX2879062C.2
L2879767.2,X2879767B.1,X2879767B.2,SX2879767B.1,SX2879767B.2
L2766725.3,X2766725C.1,X2766725C.2,SX2766725C.1,SX2766725C.2
L3141396.3,X3141396C.1,X3141396C.2,SX3141396C.1,SX3141396C.2
L2879752.2,X2879752B.1,X2879752B.2,SX2879752B.1,SX2879752B.2
L2991940.3,X2991940C.1,X2991940C.2,SX2991940C.1,SX2991940C.2
L2673321.1,X2673321A.1,X2673321A.2,SX2673321A.1,SX2673321A.2
L2673326.2,X2673326B.1,X2673326B.2,SX2673326B.1,SX2673326B.2
L2925506.3,X2925506C.1,X2925506C.2,SX2925506C.1,SX2925506C.2
L2730106.3,X2730106C.1,X2730106C.2,SX2730106C.1,SX2730106C.2
L2820556.1,X2820556A.1,X2820556A.2,SX2820556A.1,SX2820556A.2
L3235248.3,X3235248C.1,X3235248C.2,SX3235248C.1,SX3235248C.2
L2822871.2,X2822871B.1,X2822871B.2,SX2822871B.1,SX2822871B.2
L2955076.1,X2955076A.1,X2955076A.2,SX2955076A.1,SX2955076A.2
L2955005.2,X2955005B.1,X2955005B.2,SX2955005B.1,SX2955005B.2
L3254208.3,X3254208C.1,X3254208C.2,SX3254208C.1,SX3254208C.2
L3178978.1,X3178978A.1,X3178978A.2,SX3178978A.1,SX3178978A.2
L3235253.1,X3235253A.1,X3235253A.2,SX3235253A.1,SX3235253A.2
L3235241.3,X3235241C.1,X3235241C.2,SX3235241C.1,SX3235241C.2
L3197636.2,X3197636B.1,X3197636B.2,SX3197636B.1,SX3197636B.2
L3066811.2,X3066811B.1,X3066811B.2,SX3066811B.1,SX3066811B.2
L3632979.1,X3632979A.1,X3632979A.2,SX3632979A.1,SX3632979A.2
L3086074.3,X3086074C.1,X3086074C.2,SX3086074C.1,SX3086074C.2
L2674051.1,X2674051A.1,X2674051A.2,SX2674051A.1,SX2674051A.2
L3178981.2,X3178981B.1,X3178981B.2,SX3178981B.1,SX3178981B.2
L3046854.2,X3046854B.1,X3046854B.2,SX3046854B.1,SX3046854B.2
L2860506.2,X2860506B.1,X2860506B.2,SX2860506B.1,SX2860506B.2
L3048966.3,X3048966C.1,X3048966C.2,SX3048966C.1,SX3048966C.2
L2822872.2,X2822872B.1,X2822872B.2,SX2822872B.1,SX2822872B.2
L3214071.3,X3214071C.1,X3214071C.2,SX3214071C.1,SX3214071C.2
L2786273.2,X2786273B.1,X2786273B.2,SX2786273B.1,SX2786273B.2
L3104853.3,X3104853C.1,X3104853C.2,SX3104853C.1,SX3104853C.2
L2973158.3,X2973158C.1,X2973158C.2,SX2973158C.1,SX2973158C.2
L3216123.1,X3216123A.1,X3216123A.2,SX3216123A.1,SX3216123A.2
L2860485.2,X2860485B.1,X2860485B.2,SX2860485B.1,SX2860485B.2
L3235946.1,X3235946A.1,X3235946A.2,SX3235946A.1,SX3235946A.2
L2973148.1,X2973148A.1,X2973148A.2,SX2973148A.1,SX2973148A.2
L3066829.3,X3066829C.1,X3066829C.2,SX3066829C.1,SX3066829C.2
L3085393.3,X3085393C.1,X3085393C.2,SX3085393C.1,SX3085393C.2
L2673322.2,X2673322B.1,X2673322B.2,SX2673322B.1,SX2673322B.2
L3263051.3,X3263051C.1,X3263051C.2,SX3263051C.1,SX3263051C.2
L2860500.2,X2860500B.1,X2860500B.2,SX2860500B.1,SX2860500B.2
L3048211.1,X3048211A.1,X3048211A.2,SX3048211A.1,SX3048211A.2
L3728041.1,X3728041A.1,X3728041A.2,SX3728041A.1,SX3728041A.2
L3048199.2,X3048199B.1,X3048199B.2,SX3048199B.1,SX3048199B.2
L3104136.2,X3104136B.1,X3104136B.2,SX3104136B.1,SX3104136B.2
L2916599.1,X2916599A.1,X2916599A.2,SX2916599A.1,SX2916599A.2
L3104134.3,X3104134C.1,X3104134C.2,SX3104134C.1,SX3104134C.2
L2954344.3,X2954344C.1,X2954344C.2,SX2954344C.1,SX2954344C.2
L3142099.2,X3142099B.1,X3142099B.2,SX3142099B.1,SX3142099B.2
L2710515.3,X2710515C.1,X2710515C.2,SX2710515C.1,SX2710515C.2
L3011298.3,X3011298C.1,X3011298C.2,SX3011298C.1,SX3011298C.2
L3066812.1,X3066812A.1,X3066812A.2,SX3066812A.1,SX3066812A.2
L3141403.1,X3141403A.1,X3141403A.2,SX3141403A.1,SX3141403A.2
L3120484.3,X3120484C.1,X3120484C.2,SX3120484C.1,SX3120484C.2
L2860504.1,X2860504A.1,X2860504A.2,SX2860504A.1,SX2860504A.2
L2766750.3,X2766750C.1,X2766750C.2,SX2766750C.1,SX2766750C.2
L2879077.2,X2879077B.1,X2879077B.2,SX2879077B.1,SX2879077B.2
L3159037.2,X3159037B.1,X3159037B.2,SX3159037B.1,SX3159037B.2
L3160793.3,X3160793C.1,X3160793C.2,SX3160793C.1,SX3160793C.2
L3233412.1,X3233412A.1,X3233412A.2,SX3233412A.1,SX3233412A.2
L2841620.2,X2841620B.1,X2841620B.2,SX2841620B.1,SX2841620B.2
L3253995.3,X3253995C.1,X3253995C.2,SX3253995C.1,SX3253995C.2
L2936279.3,X2936279C.1,X2936279C.2,SX2936279C.1,SX2936279C.2
L2804277.3,X2804277C.1,X2804277C.2,SX2804277C.1,SX2804277C.2
L2860489.1,X2860489A.1,X2860489A.2,SX2860489A.1,SX2860489A.2
L2690868.3,X2690868C.1,X2690868C.2,SX2690868C.1,SX2690868C.2
L3176661.3,X3176661C.1,X3176661C.2,SX3176661C.1,SX3176661C.2
L2766746.3,X2766746C.1,X2766746C.2,SX2766746C.1,SX2766746C.2
L3189189.2,X3189189B.1,X3189189B.2,SX3189189B.1,SX3189189B.2
L3048196.2,X3048196B.1,X3048196B.2,SX3048196B.1,SX3048196B.2
L2879074.1,X2879074A.1,X2879074A.2,SX2879074A.1,SX2879074A.2
L3067478.1,X3067478A.1,X3067478A.2,SX3067478A.1,SX3067478A.2
L2766726.2,X2766726B.1,X2766726B.2,SX2766726B.1,SX2766726B.2
L2936271.1,X2936271A.1,X2936271A.2,SX2936271A.1,SX2936271A.2
L2917328.2,X2917328B.1,X2917328B.2,SX2917328B.1,SX2917328B.2
L3160103.3,X3160103C.1,X3160103C.2,SX3160103C.1,SX3160103C.2
L3448661.2,X3448661B.1,X3448661B.2,SX3448661B.1,SX3448661B.2
L2991901.2,X2991901B.1,X2991901B.2,SX2991901B.1,SX2991901B.2
L2860499.2,X2860499B.1,X2860499B.2,SX2860499B.1,SX2860499B.2
L2726975.2,X2726975B.1,X2726975B.2,SX2726975B.1,SX2726975B.2
L2673300.2,X2673300B.1,X2673300B.2,SX2673300B.1,SX2673300B.2
L2730107.3,X2730107C.1,X2730107C.2,SX2730107C.1,SX2730107C.2
L2916619.2,X2916619B.1,X2916619B.2,SX2916619B.1,SX2916619B.2
L2710525.3,X2710525C.1,X2710525C.2,SX2710525C.1,SX2710525C.2
L2804260.2,X2804260B.1,X2804260B.2,SX2804260B.1,SX2804260B.2
L3197631.1,X3197631A.1,X3197631A.2,SX3197631A.1,SX3197631A.2
L2973153.1,X2973153A.1,X2973153A.2,SX2973153A.1,SX2973153A.2
