node,bus,phase,electrical_distance_ohm,reachable
m1026915.2,m1026915,2,10.491990385338537,True
m1026915.3,m1026915,3,10.366542122014257,True
m1026920.1,m1026920,1,10.50833776610022,True
m1026920.2,m1026920,2,10.55181130584055,True
m1026920.3,m1026920,3,10.426454270314704,True
n1138596.1,n1138596,1,11.817352047744837,True
l3254207.1,l3254207,1,11.864321124379837,True
m1069464.2,m1069464,2,10.341624221293117,True
m1069464.1,m1069464,1,10.248580532777588,True
m1069464.3,m1069464,3,10.22008988634807,True
p873787.2,p873787,2,10.350580487555037,True
n1144665.1,n1144665,1,7.868368341623317,True
n1144665.2,n1144665,2,7.957125794458622,True
n1144665.3,n1144665,3,7.841137809041643,True
m1047515.1,m1047515,1,7.921044340360266,True
m1047515.2,m1047515,2,8.009713237751638,True
m1047515.3,m1047515,3,7.893841821837781,True
n1137002.1,n1137002,1,9.2446436726928,True
m1047707.1,m1047707,1,9.37747633028193,True
l2729406.3,l2729406,3,8.572885464023548,True
l2897768.3,l2897768,3,8.946416905612407,True
l3649301.1,l3649301,1,8.991690284524694,True
l3649302.1,l3649302,1,9.082265608921464,True
l2970842.2,l2970842,2,6.906743997257994,True
m1089113.2,m1089113,2,7.044589430371133,True
m1047312.1,m1047312,1,11.586750560782448,True
m1047312.2,m1047312,2,11.62551775120932,True
m1047312.3,m1047312,3,11.574950443790684,True
p893163.1,p893163,1,11.594470191245463,True
l2822871.1,l2822871,1,9.521222828968906,True
l2822871.2,l2822871,2,9.61548408430132,True
l2822871.3,l2822871,3,9.492347566557783,True
m1026872.1,m1026872,1,9.586930697816388,True
m1026872.2,m1026872,2,9.681356056830852,True
m1026872.3,m1026872,3,9.558006713600022,True
m1026312.2,m1026312,2,15.977374186174412,True
l2973163.2,l2973163,2,16.080014827260296,True
l3728038.1,l3728038,1,9.488408176615387,True
l3728039.1,l3728039,1,9.602034090176916,True
m1069567.2,m1069567,2,7.4495145192287975,True
m1069582.2,m1069582,2,7.742849660452199,True
n1140830.1,n1140830,1,12.20514541864696,True
l3216351.1,l3216351,1,12.221906163720316,True
l2952007.3,l2952007,3,6.706514160801173,True
l2861158.3,l2861158,3,6.949202745722819,True
n1140827.1,n1140827,1,11.853345868820023,True
n1140827.2,n1140827,2,11.935872804464939,True
n1140827.3,n1140827,3,11.828089080290866,True
m1026726.1,m1026726,1,11.886535245735084,True
m1026726.2,m1026726,2,11.969008766004837,True
m1026726.3,m1026726,3,11.861295333202422,True
l2730106.1,l2730106,1,3.958680314102329,True
l2730106.2,l2730106,2,4.013941092604891,True
l2730106.3,l2730106,3,3.941697664517531,True
n1142099.1,n1142099,1,3.975379213286821,True
n1142099.2,n1142099,2,4.030863793104365,True
n1142099.3,n1142099,3,3.9583278456130326,True
m1026658.1,m1026658,1,13.19947049210418,True
m1026658.2,m1026658,2,13.281130181752454,True
m1026658.3,m1026658,3,13.174506438547064,True
l3172805.1,l3172805,1,13.352698085818899,True
p895112.1,p895112,1,2.3173504071005557,True
l3048962.1,l3048962,1,2.3548188608026073,True
l2991914.1,l2991914,1,8.491459496620728,True
l2991914.2,l2991914,2,8.579210361123195,True
l2991914.3,l2991914,3,8.464547020427226,True
m1047503.1,m1047503,1,8.55997553816318,True
m1047503.2,m1047503,2,8.647616132139236,True
m1047503.3,m1047503,3,8.533097900721845,True
m1047751.1,m1047751,1,11.838652798764924,True
l2973154.1,l2973154,1,11.856502978364126,True
l3010565.3,l3010565,3,8.30983498825887,True
l2897775.3,l2897775,3,8.512106737092164,True
m1125955.3,m1125955,3,3.008515924231121,True
m1125957.3,m1125957,3,3.021238302753439,True
m1069640.2,m1069640,2,9.27112800799703,True
l2804269.2,l2804269,2,9.465102144634868,True
m1026702.1,m1026702,1,10.949742490535545,True
m1026702.2,m1026702,2,11.033779790232813,True
m1026702.3,m1026702,3,10.924007985488265,True
n1139551.1,n1139551,1,11.197336255644489,True
n1139551.2,n1139551,2,11.280957316897114,True
n1139551.3,n1139551,3,11.171733425488178,True
n1136355.2,n1136355,2,6.545337307481226,True
l2783231.2,l2783231,2,6.680377037823093,True
l2748143.1,l2748143,1,6.784586715257337,True
l3251854.1,l3251854,1,6.880900989748786,True
m1069610.2,m1069610,2,8.71831048707253,True
m1069600.2,m1069600,2,8.805868392864273,True
m1069424.1,m1069424,1,10.907516972462938,True
m1069424.2,m1069424,2,11.002202805522629,True
m1069424.3,m1069424,3,10.878538779101731,True
l2935549.1,l2935549,1,11.004308463641415,True
l2935549.2,l2935549,2,11.09923603091608,True
l2935549.3,l2935549,3,10.975258500243148,True
p895089.3,p895089,3,5.523752015664232,True
l3235242.3,l3235242,3,5.610659744842733,True
m1026795.3,m1026795,3,9.225088027957074,True
m1026795.1,m1026795,1,9.251695276634045,True
m1026795.2,m1026795,2,9.338492609504627,True
n1140522.3,n1140522,3,9.244561007621144,True
l3030199.1,l3030199,1,2.7863016186728427,True
l3030199.2,l3030199,2,2.8258407717838763,True
l3030199.3,l3030199,3,2.7741463317173003,True
m1125934.1,m1125934,1,2.8081707088268146,True
m1125934.2,m1125934,2,2.8480029549782846,True
m1125934.3,m1125934,3,2.795925427790421,True
m1069189.3,m1069189,3,7.498348479644407,True
m1069189.1,m1069189,1,7.512273690263769,True
m1069189.2,m1069189,2,7.557766345732915,True
l2860487.3,l2860487,3,7.660473256488017,True
221-312488.1,221-312488,1,5.514559785846206,True
221-312488.2,221-312488,2,5.5271972323079535,True
221-312488.3,221-312488,3,5.465382363066067,True
m1089183.1,m1089183,1,5.526223850283363,True
m1089183.2,m1089183,2,5.53886129674511,True
m1089183.3,m1089183,3,5.477046427503224,True
m1108464.2,m1108464,2,5.107951779808877,True
l3102286.2,l3102286,2,5.226279237606824,True
f739845.1,f739845,1,12.272727649899053,True
f739845.2,f739845,2,12.310362537705972,True
f739845.3,f739845,3,12.261285583799868,True
293471.1,293471,1,12.33130733032464,True
293471.2,293471,2,12.368847939302075,True
293471.3,293471,3,12.319895050578,True
p827499.1,p827499,1,11.123949195308578,True
n1139254.1,n1139254,1,11.136177076162754,True
m1026657.1,m1026657,1,12.208373900450963,True
m1026656.1,m1026656,1,12.219900666987245,True
m1108299.2,m1108299,2,3.7410356719661664,True
m1108300.2,m1108300,2,3.7540706476173464,True
l3198355.2,l3198355,2,4.111927136040756,True
l2805037.2,l2805037,2,4.3184631197092855,True
n1137994.3,n1137994,3,9.795046663868302,True
m1069484.3,m1069484,3,9.900040580276361,True
l2860504.1,l2860504,1,12.097442206283892,True
l2860493.1,l2860493,1,12.396745259936555,True
m1026783.1,m1026783,1,9.458211147601956,True
m1026783.2,m1026783,2,9.544661299496928,True
m1026783.3,m1026783,3,9.431713727840835,True
m1026780.1,m1026780,1,9.49266941113101,True
m1026780.2,m1026780,2,9.579061634046994,True
m1026780.3,m1026780,3,9.466190316904424,True
p895111.3,p895111,3,2.494861242231655,True
l2895496.3,l2895496,3,2.5951961690729815,True
n1140819.1,n1140819,1,11.515601518825214,True
n1140819.2,n1140819,2,11.598687533332736,True
n1140819.3,n1140819,3,11.490167947954614,True
m1026700.1,m1026700,1,11.567396830743247,True
m1026700.2,m1026700,2,11.650395770359916,True
m1026700.3,m1026700,3,11.541990805566483,True
m1089173.3,m1089173,3,8.042382472806201,True
l2935551.3,l2935551,3,8.155807681376151,True
m1026344.1,m1026344,1,14.025293292214464,True
m1026364.1,m1026364,1,14.448506032628005,True
l2879070.1,l2879070,1,8.359782581698836,True
l2879070.2,l2879070,2,8.451143170423107,True
l2879070.3,l2879070,3,8.331768516987799,True
l3216345.1,l3216345,1,8.45734379834471,True
l3216345.2,l3216345,2,8.548948043653157,True
l3216345.3,l3216345,3,8.429257392851966,True
m1069428.2,m1069428,2,10.918241564170295,True
m1069428.1,m1069428,1,10.823764899719441,True
m1069428.3,m1069428,3,10.794848807781527,True
n1139257.2,n1139257,2,10.939771533097215,True
l2991919.1,l2991919,1,14.26585325303438,True
m1026361.1,m1026361,1,14.424712641016562,True
n1147857.1,n1147857,1,12.922097512571572,True
m1009742.1,m1009742,1,13.027101807945959,True
q14412.1,q14412,1,10.921253027233185,True
q14412.2,q14412,2,10.961127057366692,True
q14412.3,q14412,3,10.909102876053641,True
m1047325.1,m1047325,1,10.986492075711277,True
m1047325.2,m1047325,2,11.026261109349713,True
m1047325.3,m1047325,3,10.974375097012082,True
n1139263.1,n1139263,1,10.214405800647652,True
l3048227.1,l3048227,1,10.264243006840555,True
p827506.1,p827506,1,10.185022470215275,True
m1069469.1,m1069469,1,10.198543156807109,True
m1027019.2,m1027019,2,14.375673387778244,True
l2785522.2,l2785522,2,14.462413924498911,True
l3216338.2,l3216338,2,14.008324868233625,True
l2973146.2,l2973146,2,14.09246637756444,True
m3037452.1,m3037452,1,15.122248279588634,True
l2973164.1,l2973164,1,15.259277241867666,True
l3120376.1,l3120376,1,10.028196975711985,True
m1026925.1,m1026925,1,10.199624500093462,True
m1047612.3,m1047612,3,8.52959866232432,True
p828360.3,p828360,3,8.535513785930435,True
m1089195.3,m1089195,3,5.808325345268919,True
l3141393.3,l3141393,3,5.970247886147178,True
m1026946.2,m1026946,2,12.393239940879004,True
m1026940.2,m1026940,2,12.639808889562543,True
m1047471.2,m1047471,2,15.352468980414017,True
l3216349.2,l3216349,2,15.378896916690879,True
m1047401.1,m1047401,1,16.5602469476414,True
l2748132.1,l2748132,1,16.667750594566204,True
l3122820.1,l3122820,1,13.554958450897258,True
l3141398.1,l3141398,1,13.640288646421622,True
m1108360.3,m1108360,3,6.167522389278425,True
l3048968.3,l3048968,3,6.272955705952078,True
l2801950.3,l2801950,3,9.161157373175191,True
m1069224.3,m1069224,3,9.219492545125052,True
l2766746.3,l2766746,3,14.743194823815802,True
m1027073.3,m1027073,3,14.90187928645902,True
m1142873.3,m1142873,3,2.6678185413437037,True
m1069181.1,m1069181,1,8.639523232598307,True
l2973151.1,l2973151,1,8.784186613430855,True
l3179682.3,l3179682,3,3.5632242935002645,True
l2786274.3,l2786274,3,3.6164024699554815,True
l3066816.1,l3066816,1,12.495476559367189,True
m1026667.1,m1026667,1,12.6699359276545,True
m1108529.1,m1108529,1,4.515780257332238,True
m1108529.2,m1108529,2,4.578488354946676,True
m1108529.3,m1108529,3,4.49651091190068,True
m1108532.1,m1108532,1,4.534300582849655,True
m1108532.2,m1108532,2,4.597256892825812,True
m1108532.3,m1108532,3,4.514955023928635,True
l2766723.1,l2766723,1,12.407194050998744,True
l3122822.1,l3122822,1,12.516810919373265,True
l2673312.1,l2673312,1,13.150146678395123,True
l3235247.1,l3235247,1,13.388940290539885,True
m1166391.3,m1166391,3,5.485828396259261,True
l3254873.3,l3254873,3,5.683584502090577,True
l2861157.3,l2861157,3,3.6588907736228222,True
p901951.3,p901951,3,3.8331870185590478,True
m1047346.1,m1047346,1,10.377238287408836,True
m1047346.2,m1047346,2,10.41800953141976,True
m1047346.3,m1047346,3,10.3648051979906,True
m1047345.1,m1047345,1,10.457780305588644,True
m1047345.2,m1047345,2,10.498415846137759,True
m1047345.3,m1047345,3,10.445389956523366,True
l2989596.2,l2989596,2,7.740746529370316,True
l2822873.2,l2822873,2,7.905797329757822,True
m1108328.3,m1108328,3,3.9015471534098545,True
l2875754.3,l2875754,3,3.9320936950450824,True
l2786204.3,l2786204,3,1.5378277134496585,True
m1209819.3,m1209819,3,1.6759915674456698,True
p901972.1,p901972,1,13.049401266605095,True
m1009726.1,m1009726,1,13.21729653221211,True
m1047702.1,m1047702,1,9.217440625442178,True
n1137001.1,n1137001,1,9.278718567959396,True
l2767340.1,l2767340,1,3.5413219687909088,True
l2767340.2,l2767340,2,3.588663440235766,True
l2767340.3,l2767340,3,3.5267734456877693,True
m3037449.1,m3037449,1,3.5449414061460627,True
m3037449.2,m3037449,2,3.59227652714408,True
m3037449.3,m3037449,3,3.530394891598257,True
m1047457.2,m1047457,2,14.734883089865821,True
l2710546.2,l2710546,2,14.792507771681313,True
l2674027.1,l2674027,1,4.386194027721004,True
l2674027.2,l2674027,2,4.447184413320641,True
l2674027.3,l2674027,3,4.367452104959426,True
l2692633.1,l2692633,1,4.436869039075415,True
l2692633.2,l2692633,2,4.49853857927396,True
l2692633.3,l2692633,3,4.417918582212195,True
n1142108.1,n1142108,1,3.38658104943068,True
l2674051.1,l2674051,1,3.4924074390713415,True
m1069135.1,m1069135,1,9.826324138397307,True
m1069135.2,m1069135,2,9.868007826515957,True
m1069135.3,m1069135,3,9.813602835699022,True
r18242.1,r18242,1,9.958944168402928,True
r18242.2,r18242,2,10.00039516940259,True
r18242.3,r18242,3,9.946296461305959,True
m1047534.1,m1047534,1,7.246539630394601,True
m1047534.2,m1047534,2,7.335129776452048,True
m1047534.3,m1047534,3,7.219347955937557,True
n1136663.1,n1136663,1,7.371888375161629,True
n1136663.2,n1136663,2,7.460791576427187,True
n1136663.3,n1136663,3,7.344603755715847,True
m1108508.3,m1108508,3,5.261752507004997,True
l3097861.3,l3097861,3,5.393089676656822,True
m1069560.2,m1069560,2,7.29335293339005,True
l2973153.1,l2973153,1,8.79091357838731,True
l2973153.2,l2973153,2,8.879722673482583,True
l2973153.3,l2973153,3,8.763683285619244,True
n1136998.1,n1136998,1,8.810582399169608,True
n1136998.2,n1136998,2,8.899356984536286,True
n1136998.3,n1136998,3,8.783363021334171,True
l2898515.3,l2898515,3,2.385267742282027,True
m1166387.3,m1166387,3,2.4995788140553903,True
m1047442.2,m1047442,2,13.608846838677815,True
l3235250.2,l3235250,2,13.729061113553168,True
m1142871.1,m1142871,1,2.465747855934648,True
m1142871.2,m1142871,2,2.5010380221277786,True
m1142871.3,m1142871,3,2.454897173510006,True
m1142874.1,m1142874,1,2.494229549162512,True
m1142874.2,m1142874,2,2.529901431559022,True
m1142874.3,m1142874,3,2.483261660956327,True
l2955081.1,l2955081,1,3.408977354758016,True
l2955081.2,l2955081,2,3.456842754057637,True
l2955081.3,l2955081,3,3.3942654978082887,True
m1108315.1,m1108315,1,3.4796613737056328,True
m1108315.2,m1108315,2,3.52847409152092,True
m1108315.3,m1108315,3,3.4646586430491677,True
l2973162.1,l2973162,1,14.106907151360389,True
l2973162.2,l2973162,2,14.141549972610978,True
l2973162.3,l2973162,3,14.096410656656952,True
m1026333.1,m1026333,1,14.206125723779104,True
m1026333.2,m1026333,2,14.240601373855478,True
m1026333.3,m1026333,3,14.195681880311643,True
m1009832.2,m1009832,2,13.116725933453752,True
l2860479.2,l2860479,2,13.185855817471968,True
m1026854.1,m1026854,1,9.003723587890287,True
m1026854.2,m1026854,2,9.096692402417535,True
m1026854.3,m1026854,3,8.975232046602367,True
p901894.1,p901894,1,9.015085710908203,True
m1026485.2,m1026485,2,13.18268828031864,True
m1026492.2,m1026492,2,13.277352460924813,True
d6413567-3_int.1,d6413567-3_int,1,7.7923804978977715,True
d6413567-3_int.2,d6413567-3_int,2,7.837398267851799,True
d6413567-3_int.3,d6413567-3_int,3,7.778605230432737,True
e182724.1,e182724,1,7.793794711460144,True
e182724.2,e182724,2,7.8388124814141715,True
e182724.3,e182724,3,7.780019443995109,True
n1139541.1,n1139541,1,7.763595065153242,True
n1139541.2,n1139541,2,7.808661227294159,True
n1139541.3,n1139541,3,7.749804489068798,True
m4122658.1,m4122658,1,3.8238230713094095,True
m4122658.2,m4122658,2,3.877276471496881,True
m4122658.3,m4122658,3,3.807395376390117,True
l2933135.1,l2933135,1,3.825069146027335,True
l2933135.2,l2933135,2,3.878539246307271,True
l2933135.3,l2933135,3,3.8086363233524696,True
l2729414.1,l2729414,1,11.02141652283134,True
l2729414.2,l2729414,2,11.105449666150347,True
l2729414.3,l2729414,3,10.99568496584167,True
l2729430.2,l2729430,2,11.815933611278469,True
l2766742.2,l2766742,2,12.024283865087337,True
m1026972.2,m1026972,2,12.881607862265891,True
l2860483.2,l2860483,2,12.968759910208323,True
l2860490.1,l2860490,1,10.168683106046416,True
l2860490.2,l2860490,2,10.209796550722885,True
l2860490.3,l2860490,3,10.156142046133144,True
l3104134.1,l3104134,1,10.290450981094976,True
l3104134.2,l3104134,2,10.331368451115303,True
l3104134.3,l3104134,3,10.27797183720495,True
m1089144.1,m1089144,1,5.465264955196376,True
p827522.1,p827522,1,5.46898753578161,True
m1089118.1,m1089118,1,6.816833707245419,True
m1089118.2,m1089118,2,6.8635107915594755,True
m1089118.3,m1089118,3,6.802533830298776,True
l3048208.1,l3048208,1,6.903757867140291,True
m1108505.1,m1108505,1,4.252135369502872,True
m1108505.2,m1108505,2,4.3113290795454855,True
m1108505.3,m1108505,3,4.233945115129945,True
l2955047.1,l2955047,1,4.292866538418258,True
l2955047.2,l2955047,2,4.352606134094608,True
l2955047.3,l2955047,3,4.274508670117054,True
m1089148.1,m1089148,1,6.236859262416989,True
l2766721.1,l2766721,1,6.322689369115066,True
m1026745.2,m1026745,2,16.17283036601871,True
l3029183.2,l3029183,2,16.30355961571829,True
l2710512.2,l2710512,2,13.970811387734424,True
m1047828.2,m1047828,2,14.24930569480772,True
m1047342.1,m1047342,1,10.765029521039413,True
l3197645.1,l3197645,1,10.870883832824523,True
m1069192.1,m1069192,1,8.281577083272612,True
l3235253.1,l3235253,1,8.398697227709047,True
l3214071.1,l3214071,1,2.9043832996983583,True
l3214071.2,l3214071,2,2.9455521281929724,True
l3214071.3,l3214071,3,2.8917275767662045,True
m1125952.1,m1125952,1,2.9446411653493225,True
m1125952.2,m1125952,2,2.9863495361917,True
m1125952.3,m1125952,3,2.9318197761918805,True
m1027101.2,m1027101,2,16.032463988478142,True
l2860480.2,l2860480,2,16.267886274582278,True
l2710517.1,l2710517,1,13.217399637397795,True
m1026646.1,m1026646,1,13.311005293263682,True
m1069662.2,m1069662,2,9.824791322878344,True
l2935547.2,l2935547,2,9.912660144046647,True
m1026931.1,m1026931,1,10.817853232526444,True
l3216336.1,l3216336,1,10.912181986247413,True
l3142049.1,l3142049,1,4.044268534254639,True
l3142049.2,l3142049,2,4.100676379758772,True
l3142049.3,l3142049,3,4.026933678284021,True
m1108493.1,m1108493,1,4.107476394543932,True
m1108493.2,m1108493,2,4.164731361890868,True
m1108493.3,m1108493,3,4.089881430208069,True
m1069169.1,m1069169,1,7.9726517095791385,True
m1069169.2,m1069169,2,8.017368796845629,True
m1069169.3,m1069169,3,7.9589715615356935,True
l3010556.1,l3010556,1,8.113736079326458,True
l3010556.2,l3010556,2,8.158215984777804,True
l3010556.3,l3010556,3,8.10013096253025,True
l2991933.3,l2991933,3,12.004051455947693,True
l3122837.3,l3122837,3,12.163751415122405,True
l2691936.1,l2691936,1,11.040576498616984,True
l2897772.1,l2897772,1,12.66531055306465,True
l3101814.1,l3101814,1,12.773560295888498,True
l2766732.2,l2766732,2,13.162963132378325,True
l2989564.2,l2989564,2,9.58414372917718,True
m1126016.1,m1126016,1,5.595658117027015,True
l3120534.1,l3120534,1,5.663814015089139,True
m1026330.2,m1026330,2,14.432337700975566,True
m1026330.1,m1026330,1,14.398185648410601,True
m1026330.3,m1026330,3,14.38784372328531,True
l2766726.2,l2766726,2,14.488415183456144,True
p901912.2,p901912,2,8.609986932456165,True
l3195365.2,l3195365,2,8.663740046639127,True
m1108381.1,m1108381,1,4.753073425911068,True
m1108381.2,m1108381,2,4.801091332520156,True
m1108381.3,m1108381,3,4.7383319875322085,True
l3254237.1,l3254237,1,4.89905165249451,True
l3254237.2,l3254237,2,4.91228111359369,True
l3254237.3,l3254237,3,4.849681596683404,True
l2804262.1,l2804262,1,9.15729141935056,True
l2841639.1,l2841639,1,9.300506239847511,True
n1230123.2,n1230123,2,4.20096914549171,True
l2708744.2,l2708744,2,4.262418351250842,True
m1069519.2,m1069519,2,6.27934882664759,True
m1069519.1,m1069519,1,6.194184395632347,True
m1069519.3,m1069519,3,6.16801984354325,True
p901927.2,p901927,2,6.291182287481814,True
l2897790.3,l2897790,3,6.583239829166734,True
l2935566.3,l2935566,3,6.68440540820629,True
l3216337.1,l3216337,1,10.898763395674226,True
p901931.3,p901931,3,6.49203256947537,True
m1069548.3,m1069548,3,6.499005776024756,True
m1010013.1,m1010013,1,17.632844272436103,True
l3120503.1,l3120503,1,17.71159621037731,True
m1089145.1,m1089145,1,5.534724321505473,True
m1089145.2,m1089145,2,5.58359950267221,True
m1089145.3,m1089145,3,5.519731083779979,True
l3215385.1,l3215385,1,5.5863860091470485,True
l3215385.2,l3215385,2,5.635258194451707,True
l3215385.3,l3215385,3,5.571394896342206,True
m1026852.1,m1026852,1,9.147089880638127,True
m1026852.2,m1026852,2,9.240416748727824,True
m1026852.3,m1026852,3,9.118492034508547,True
m1069420.1,m1069420,1,11.109213026039003,True
m1069420.2,m1069420,2,11.204402589711592,True
m1069420.3,m1069420,3,11.08008527683292,True
l3157708.3,l3157708,3,8.166839207684639,True
n1137991.3,n1137991,3,8.19394065155969,True
m1108413.1,m1108413,1,4.214538212311371,True
m1108460.1,m1108460,1,4.37541466800309,True
p827532.1,p827532,1,11.000325046480278,True
m1047326.1,m1047326,1,11.010799740214946,True
e182732.1,e182732,1,10.146514316003566,True
e182732.2,e182732,2,10.231844340610792,True
e182732.3,e182732,3,10.120371388830945,True
m1026760.1,m1026760,1,10.164158115991404,True
m1026760.2,m1026760,2,10.24945974445856,True
m1026760.3,m1026760,3,10.138024160264901,True
l3048205.3,l3048205,3,5.471493290017649,True
m1108361.3,m1108361,3,5.847487414056177,True
m3036169.1,m3036169,1,13.021098239662784,True
l2673317.1,l2673317,1,13.026083903787018,True
l3178981.2,l3178981,2,10.088648348551262,True
m1047368.2,m1047368,2,10.50441882769837,True
n1136354.1,n1136354,1,6.3071024232970085,True
n1136354.2,n1136354,2,6.393780199760796,True
n1136354.3,n1136354,3,6.280473199196424,True
l2879794.1,l2879794,1,3.2028047782560303,True
m1142811.1,m1142811,1,3.2675414183514833,True
m1069565.2,m1069565,2,7.543134956477939,True
l2785536.2,l2785536,2,7.897945372755197,True
l3104114.2,l3104114,2,12.491818321782153,True
m1009824.2,m1009824,2,12.595342078133045,True
l2745848.1,l2745848,1,9.835190466889246,True
l2745848.2,l2745848,2,9.927201724538808,True
l2745848.3,l2745848,3,9.80700634554771,True
l2673308.1,l2673308,1,9.898068740254173,True
l2673308.2,l2673308,2,9.990237034745153,True
l2673308.3,l2673308,3,9.86983799522749,True
l2991939.1,l2991939,1,10.021094840275119,True
l2991939.2,l2991939,2,10.11357038922977,True
l2991939.3,l2991939,3,9.992772872480293,True
l2916606.3,l2916606,3,5.248587471539978,True
l2822864.3,l2822864,3,5.366911694313726,True
m1142851.1,m1142851,1,2.1464782059169556,True
m1142851.2,m1142851,2,2.177508422764503,True
m1142851.3,m1142851,3,2.136935538944535,True
196-31070.1,196-31070,1,2.156822020348589,True
196-31070.2,196-31070,2,2.18799086664986,True
196-31070.3,196-31070,3,2.1472367872673033,True
m1209822.3,m1209822,3,2.9506144018023157,True
m1209823.3,m1209823,3,3.0598954396672897,True
m1069550.2,m1069550,2,7.052001216127826,True
m1069551.2,m1069551,2,7.059732830841979,True
l3141397.2,l3141397,2,13.077993340093402,True
l3649299.1,l3649299,1,8.810686551598804,True
m3772794.1,m3772794,1,8.816258036334029,True
p895106.2,p895106,2,3.318584996878734,True
l3048887.2,l3048887,2,3.3956055419993345,True
m1047824.2,m1047824,2,14.788505860309709,True
m1047834.2,m1047834,2,15.585820236659067,True
m1069350.1,m1069350,1,12.210105274712433,True
m1069350.2,m1069350,2,12.308044287951962,True
m1069350.3,m1069350,3,12.180161223613226,True
n1144668.1,n1144668,1,12.239327559463131,True
n1144668.2,n1144668,2,12.337339554593711,True
n1144668.3,n1144668,3,12.209361840297506,True
l2879072.2,l2879072,2,13.101300510020618,True
m1047441.2,m1047441,2,13.53033720256315,True
m1108274.2,m1108274,2,9.227696477184523,True
m1108269.2,m1108269,2,9.315725998624812,True
l3235244.1,l3235244,1,12.461886929603375,True
m1069398.1,m1069398,1,12.582507456820917,True
n1147862.1,n1147862,1,11.075276597299025,True
l2685805.1,l2685805,1,11.203635376149782,True
m1069247.1,m1069247,1,12.740319304136786,True
m1069248.1,m1069248,1,12.875538212876437,True
l2786273.2,l2786273,2,9.408423932277994,True
m1108278.2,m1108278,2,9.61553305499018,True
l3254238.1,l3254238,1,12.045970397820804,True
l3254238.2,l3254238,2,12.083967955375137,True
l3254238.3,l3254238,3,12.034413750229533,True
m1047303.1,m1047303,1,12.236842002371109,True
m1047303.2,m1047303,2,12.274532368910947,True
m1047303.3,m1047303,3,12.225382408380383,True
m1047633.3,m1047633,3,8.89771816930686,True
l2897554.3,l2897554,3,9.095747785095092,True
m1069627.2,m1069627,2,9.442954773233641,True
l2897791.2,l2897791,2,9.708670533229501,True
m1089097.2,m1089097,2,8.541550173583841,True
m1108270.2,m1108270,2,8.7010616544773,True
n1142101.1,n1142101,1,4.04562633950732,True
l2936214.1,l2936214,1,4.098694525210533,True
l3066810.3,l3066810,3,10.721509019730984,True
l2897769.3,l2897769,3,10.970126811834072,True
m1209758.2,m1209758,2,2.021657760505164,True
m1209753.2,m1209753,2,2.1955837641258196,True
m1047528.1,m1047528,1,7.62694923196871,True
m1047528.2,m1047528,2,7.716479588589444,True
m1047528.3,m1047528,3,7.599478556723305,True
l2858166.1,l2858166,1,7.632229566766857,True
l2858166.2,l2858166,2,7.721773110885498,True
l2858166.3,l2858166,3,7.60475497619977,True
m1142843.1,m1142843,1,2.0457290299274793,True
m1142843.2,m1142843,2,2.075408990220944,True
